pc_timestamp,arduino_ms,node_position,ax,ay,az,gx,gy,gz,rssi
1785980326041,13187,Knee,0.026352,-0.00732,1.03212,1.33,-3.71,-0.77,-70
1785980326061,13266,Knee,0.019032,-0.010248,1.040416,1.61,-4.2,-0.7,-70
1785980326107,13344,Knee,0.020008,-0.013664,1.039928,1.54,-4.06,-0.7,-70
1785980326187,13424,Knee,0.015128,-0.011712,1.037488,1.47,-4.13,-0.63,-70
1785980326270,13504,Knee,0.017568,-0.010248,1.037488,1.54,-4.06,-0.7,-70
1785980326349,13584,Knee,0.017568,-0.010248,1.038952,1.54,-4.06,-0.63,-70
1785980326432,13663,Knee,0.019032,-0.011712,1.037976,1.47,-4.13,-0.7,-70
1785980326511,13743,Knee,0.020008,-0.011224,1.037976,1.47,-4.06,-0.77,-70
1785980326591,13824,Knee,0.01952,-0.010248,1.038464,1.54,-4.06,-0.63,-70
1785980326671,13905,Knee,0.01708,-0.00976,1.037976,1.54,-4.06,-0.7,-70
1785980326753,13984,Knee,0.017568,-0.010248,1.036512,1.61,-4.13,-0.77,-70
1785980326832,14065,Knee,0.017568,-0.011224,1.042368,1.47,-4.06,-0.7,-70
1785980326915,14145,Knee,0.017568,-0.010736,1.03944,1.61,-4.06,-0.63,-70
1785980326996,14225,Knee,0.016592,-0.011224,1.038952,1.54,-4.13,-0.63,-70
1785980327068,14306,Knee,0.017568,-0.013664,1.038464,1.47,-4.13,-0.7,-70
1785980327159,14385,Knee,0.018056,-0.010736,1.037976,1.54,-4.06,-0.7,-70
1785980327235,14466,Knee,0.018056,-0.011224,1.038464,1.47,-4.06,-0.56,-70
1785980327309,14547,Knee,0.019032,-0.013176,1.037976,1.47,-4.06,-0.63,-70
1785980327390,14628,Knee,0.018056,-0.0122,1.037488,1.47,-4.13,-0.7,-70
1785980327471,14708,Knee,0.01952,-0.011224,1.038952,1.54,-4.06,-0.56,-70
1785980327552,14789,Knee,0.01952,-0.010736,1.03944,1.47,-4.06,-0.63,-73
1785980327652,14869,Knee,0.020496,-0.0122,1.038464,1.54,-4.06,-0.7,-73
1785980327732,14949,Knee,0.017568,-0.014152,1.037976,1.54,-4.06,-0.63,-73
1785980327811,15030,Knee,0.01708,-0.011712,1.038464,1.54,-4.06,-0.77,-73
1785980327877,15109,Knee,0.020008,-0.0122,1.037,1.54,-4.06,-0.7,-73
1785980327953,15189,Knee,0.01952,-0.00976,1.03944,1.54,-4.06,-0.56,-73
1785980328034,15269,Knee,0.016592,-0.013176,1.038464,1.54,-4.13,-0.63,-73
1785980328117,15349,Knee,0.01952,-0.014152,1.037976,1.54,-4.13,-0.7,-73
1785980328292,15429,Knee,0.017568,-0.00976,1.038464,1.47,-4.06,-0.7,-73
1785980328310,15508,Knee,0.016592,-0.010248,1.038952,1.47,-4.13,-0.56,-73
1785980328374,15585,Knee,0.01708,-0.0122,1.038952,1.47,-4.13,-0.63,-72
1785980328451,15665,Knee,0.01708,-0.011224,1.039928,1.54,-4.13,-0.7,-72
1785980328527,15746,Knee,0.020984,-0.011224,1.038464,1.54,-4.13,-0.7,-72
1785980328610,15827,Knee,0.020496,-0.011712,1.040904,1.47,-4.13,-0.7,-72
1785980328672,15907,Knee,0.020008,-0.013664,1.037488,1.47,-4.13,-0.7,-72
1785980328752,15988,Knee,0.01708,-0.0122,1.040416,1.61,-4.06,-0.7,-72
1785980328832,16067,Knee,0.020008,-0.011712,1.040904,1.54,-4.13,-0.7,-72
1785980328914,16148,Knee,0.019032,-0.011224,1.039928,1.47,-3.99,-0.63,-72
1785980329008,16228,Knee,0.018056,-0.01464,1.03944,1.54,-4.13,-0.7,-72
1785980329074,16309,Knee,0.017568,-0.010248,1.040904,1.61,-4.06,-0.56,-72
1785980329154,16389,Knee,0.01708,-0.012688,1.03944,1.47,-4.13,-0.7,-72
1785980329235,16469,Knee,0.016592,-0.012688,1.03944,1.61,-4.13,-0.7,-72
1785980329318,16549,Knee,0.018056,-0.0122,1.037976,1.54,-4.13,-0.7,-72
1785980329399,16629,Knee,0.021472,-0.012688,1.037,1.61,-4.13,-0.7,-72
1785980329631,16709,Knee,0.019032,-0.011224,1.037,1.54,-3.99,-0.63,-72
1785980329646,16789,Knee,0.020008,-0.011224,1.041392,1.47,-3.99,-0.7,-72
1785980329647,16868,Knee,0.01708,-0.012688,1.037976,1.61,-4.13,-0.56,-73
1785980329719,16946,Knee,0.020496,-0.0122,1.038464,1.54,-4.13,-0.63,-72
1785980329798,17027,Knee,0.01708,-0.011712,1.038464,1.61,-4.13,-0.63,-72
1785980329880,17106,Knee,0.019032,-0.0122,1.03944,1.54,-4.06,-0.63,-72
1785980329959,17187,Knee,0.018056,-0.013664,1.036512,1.47,-4.06,-0.77,-72
1785980330039,17268,Knee,0.01952,-0.013176,1.038952,1.61,-4.06,-0.63,-72
1785980330118,17349,Knee,0.017568,-0.011224,1.038952,1.54,-4.13,-0.77,-72
1785980330198,17430,Knee,0.01708,-0.0122,1.036024,1.54,-4.13,-0.7,-72
1785980330280,17510,Knee,0.019032,-0.014152,1.039928,1.47,-4.13,-0.7,-72
1785980330360,17590,Knee,0.020984,-0.011224,1.037976,1.54,-4.13,-0.63,-72
1785980330441,17671,Knee,0.021472,-0.0122,1.037,1.54,-4.13,-0.77,-72
1785980330525,17750,Knee,0.019032,-0.012688,1.037,1.54,-4.06,-0.7,-72
1785980330609,17830,Knee,0.01952,-0.011712,1.03944,1.47,-4.13,-0.7,-72
1785980330702,17910,Knee,0.020984,-0.01464,1.041392,1.47,-4.06,-0.7,-72
1785980330775,17991,Knee,0.016104,-0.011224,1.039928,1.54,-4.06,-0.77,-72
1785980330932,18151,Knee,0.018544,-0.013176,1.03944,1.54,-4.13,-0.7,-72
1785980331013,18231,Knee,0.020008,-0.011712,1.041392,1.47,-4.13,-0.77,-72
1785980331082,18311,Knee,0.017568,-0.012688,1.038952,1.61,-4.13,-0.63,-72
1785980331172,18392,Knee,0.01952,-0.012688,1.038464,1.54,-4.06,-0.7,-72
