pc_timestamp,arduino_ms,node_position,ax,ay,az,gx,gy,gz,rssi
1786035830414,32387,Lumbar,0.051728,-0.21472,0.999424,1.54,-1.96,0.49,-71
1786035830495,32468,Lumbar,0.0488,-0.211304,1.0004,2.03,-1.96,0.42,-71
1786035830575,32548,Lumbar,0.052704,-0.208376,1.004304,1.96,-2.03,0.49,-71
1786035830657,32628,Lumbar,0.0488,-0.208376,1.000888,1.61,-2.03,0.49,-71
1786035830735,32708,Lumbar,0.048312,-0.20984,1.001376,1.61,-2.1,0.49,-71
1786035830815,32787,Lumbar,0.0488,-0.211304,1.001376,1.54,-2.1,0.49,-71
1786035830898,32868,Lumbar,0.049776,-0.211792,1.001864,1.54,-2.03,0.49,-71
1786035830990,32948,Lumbar,0.049776,-0.208864,1.001376,1.61,-2.17,0.42,-71
1786035831057,33028,Lumbar,0.051728,-0.210328,1.001864,1.54,-1.96,0.49,-71
1786035831138,33110,Lumbar,0.0488,-0.209352,1.004304,1.68,-2.03,0.35,-71
1786035831217,33190,Lumbar,0.046848,-0.211304,1.004304,1.82,-1.96,0.42,-71
1786035831299,33271,Lumbar,0.050264,-0.208864,1.000888,1.61,-2.1,0.42,-71
1786035831380,33351,Lumbar,0.0488,-0.211304,0.999912,1.75,-2.03,0.42,-71
1786035831460,33431,Lumbar,0.047824,-0.20984,1.002352,1.54,-2.1,0.42,-71
1786035831521,33513,Lumbar,0.049288,-0.211304,1.001864,1.61,-2.03,0.35,-71
1786035831632,33593,Lumbar,0.047824,-0.21228,0.999912,1.61,-2.03,0.42,-71
1786035831709,33674,Lumbar,0.050264,-0.208376,1.000888,1.61,-2.03,0.49,-71
1786035831790,33754,Lumbar,0.0488,-0.210328,0.998936,1.68,-2.1,0.35,-71
1786035832905,34880,Lumbar,0.049288,-0.211304,1.003328,1.68,-1.89,0.56,-71
1786035833063,35041,Lumbar,0.047824,-0.211792,1.000888,1.61,-2.03,0.49,-72
1786035833381,35363,Lumbar,0.047824,-0.20984,1.001864,1.61,-2.03,0.56,-71
1786035833540,35523,Lumbar,0.049288,-0.211304,1.001864,1.61,-2.03,0.42,-71
1786035833702,35684,Lumbar,0.049288,-0.211792,1.001864,1.54,-2.03,0.49,-71
1786035833857,35845,Lumbar,0.049288,-0.211792,1.001864,1.54,-2.03,0.35,-71
1786035834455,36407,Lumbar,0.047336,-0.211792,1.001376,1.61,-2.03,0.42,-71
1786035834998,36972,Lumbar,0.0488,-0.210816,1.0004,1.68,-2.03,0.35,-71
1786035835341,37294,Lumbar,0.049288,-0.208864,1.00528,1.82,-1.96,0.35,-71
1786035835420,37374,Lumbar,0.049776,-0.210328,1.004792,1.61,-1.96,0.42,-71
1786035835569,37535,Lumbar,0.05124,-0.211792,1.004304,1.54,-1.96,0.42,-71
1786035835715,37695,Lumbar,0.049288,-0.210816,0.999424,1.75,-2.1,0.42,-71
1786035835888,37856,Lumbar,0.049288,-0.212768,1.001864,1.68,-1.89,0.42,-71
1786035836219,38178,Lumbar,0.048312,-0.210328,1.0004,1.54,-2.03,0.49,-71
1786035836525,38500,Lumbar,0.052216,-0.210328,1.001864,1.68,-1.96,0.42,-71
1786035836604,38580,Lumbar,0.049288,-0.210328,1.003328,1.68,-1.96,0.42,-71
1786035837104,39059,Lumbar,0.047336,-0.20984,1.003816,1.61,-2.03,0.42,-71
1786035837240,39220,Lumbar,0.050264,-0.21228,1.001376,1.61,-2.03,0.56,-71
1786035837319,39300,Lumbar,0.050752,-0.208864,0.996984,1.47,-2.03,0.49,-71
1786035837558,39542,Lumbar,0.05124,-0.210816,1.004304,1.68,-1.96,0.35,-71
1786035837667,39622,Lumbar,0.049776,-0.210328,1.002352,1.68,-2.1,0.35,-71
1786035837747,39703,Lumbar,0.048312,-0.208376,1.002352,1.61,-2.03,0.35,-71
1786035837798,39782,Lumbar,0.049288,-0.20984,1.003328,1.61,-2.1,0.28,-71
1786035837907,39862,Lumbar,0.049288,-0.210328,1.001376,1.61,-2.1,0.42,-71
1786035837987,39943,Lumbar,0.048312,-0.206912,0.999912,1.75,-2.03,0.35,-71
1786035838067,40021,Lumbar,0.050752,-0.20984,1.002352,1.61,-2.03,0.42,-71
1786035838147,40101,Lumbar,0.049288,-0.210816,1.001864,1.61,-2.1,0.35,-71
1786035838229,40180,Lumbar,0.050264,-0.211792,0.999424,1.68,-2.03,0.49,-71
1786035838309,40261,Lumbar,0.048312,-0.210816,1.003328,1.61,-1.96,0.42,-71
1786035838391,40341,Lumbar,0.049776,-0.211792,1.0004,1.61,-2.1,0.49,-71
1786035838469,40421,Lumbar,0.048312,-0.211792,0.999912,1.54,-1.96,0.42,-71
1786035838550,40503,Lumbar,0.050264,-0.213256,1.006256,1.75,-2.03,0.35,-71
