pc_timestamp,arduino_ms,node_position,ax,ay,az,gx,gy,gz,rssi
1786035829883,8358,Thigh,-0.015128,-0.06588,1.046272,1.19,-2.52,-0.14,-75
1786035830358,8815,Thigh,-0.01464,-0.068808,1.047248,1.33,-2.59,-0.21,-76
1786035830414,8895,Thigh,-0.016104,-0.069784,1.04432,1.26,-2.59,-0.28,-76
1786035830495,8975,Thigh,-0.013664,-0.067832,1.042368,1.12,-2.45,-0.14,-77
1786035830575,9055,Thigh,-0.013664,-0.06588,1.04432,1.33,-2.45,-0.14,-76
1786035830657,9135,Thigh,-0.016592,-0.06832,1.046272,1.33,-2.52,-0.21,-76
1786035830735,9216,Thigh,-0.015616,-0.06832,1.045296,1.19,-2.59,-0.21,-76
1786035830815,9295,Thigh,-0.013664,-0.071248,1.043832,1.4,-2.66,-0.28,-76
1786035830875,9335,Thigh,-0.014152,-0.068808,1.043832,1.26,-2.59,-0.21,-76
1786035830898,9375,Thigh,-0.012688,-0.067344,1.042856,1.33,-2.52,-0.21,-76
1786035830990,9455,Thigh,-0.016592,-0.068808,1.04432,1.33,-2.66,-0.35,-77
1786035831057,9535,Thigh,-0.015128,-0.06832,1.048224,1.33,-2.59,-0.21,-75
1786035831138,9615,Thigh,-0.01464,-0.06832,1.045296,1.33,-2.52,-0.14,-75
1786035831217,9695,Thigh,-0.01464,-0.06832,1.040904,0.98,-2.52,-0.14,-77
1786035831299,9775,Thigh,-0.01464,-0.065392,1.045296,1.26,-2.59,-0.21,-77
1786035831380,9856,Thigh,-0.017568,-0.06588,1.046272,1.26,-2.59,-0.14,-77
1786035831460,9935,Thigh,-0.013664,-0.068808,1.045296,1.33,-2.66,-0.21,-77
1786035831521,10015,Thigh,-0.016104,-0.065392,1.04676,1.33,-2.59,-0.21,-77
1786035831607,10055,Thigh,-0.012688,-0.070272,1.045296,1.26,-2.52,-0.14,-77
1786035831632,10095,Thigh,-0.014152,-0.066856,1.042856,1.26,-2.45,-0.21,-77
1786035831709,10175,Thigh,-0.016104,-0.067344,1.049688,1.26,-2.66,-0.14,-77
1786035831790,10255,Thigh,-0.015128,-0.06832,1.048224,1.26,-2.52,-0.07,-77
1786035832308,10775,Thigh,-0.015128,-0.071248,1.045784,1.19,-2.45,-0.14,-77
1786035832464,10935,Thigh,-0.014152,-0.069784,1.044808,1.26,-2.59,-0.14,-77
1786035832905,11375,Thigh,-0.015128,-0.067344,1.043832,1.26,-2.59,-0.28,-77
1786035833063,11535,Thigh,-0.013664,-0.067832,1.04676,1.26,-2.66,-0.21,-76
1786035833181,11655,Thigh,-0.01464,-0.067344,1.045784,1.4,-2.66,-0.21,-77
1786035833381,11855,Thigh,-0.013176,-0.069296,1.045784,1.4,-2.52,-0.21,-77
1786035833540,12015,Thigh,-0.015616,-0.067832,1.042368,1.33,-2.52,-0.21,-77
1786035833675,12175,Thigh,-0.014152,-0.069296,1.046272,1.19,-2.52,-0.07,-77
1786035833702,12215,Thigh,-0.014152,-0.067832,1.04676,1.26,-2.59,-0.14,-77
1786035833857,12335,Thigh,-0.011712,-0.06588,1.044808,1.33,-2.59,-0.14,-77
1786035834455,12935,Thigh,-0.013176,-0.067832,1.044808,1.26,-2.52,-0.07,-76
1786035834657,13135,Thigh,-0.015616,-0.067344,1.042368,1.33,-2.59,-0.28,-76
1786035834737,13215,Thigh,-0.015128,-0.067832,1.045296,1.26,-2.59,-0.21,-76
1786035834998,13495,Thigh,-0.015616,-0.06832,1.04432,1.19,-2.59,-0.14,-76
1786035835021,13535,Thigh,-0.015128,-0.067344,1.04188,1.26,-2.52,-0.21,-76
1786035835211,13696,Thigh,-0.013664,-0.067832,1.043344,1.26,-2.45,-0.21,-76
1786035835290,13775,Thigh,-0.014152,-0.068808,1.04676,1.33,-2.73,-0.28,-76
1786035835305,13815,Thigh,-0.013176,-0.066856,1.048224,1.19,-2.52,-0.21,-76
1786035835341,13855,Thigh,-0.01708,-0.06832,1.044808,1.33,-2.66,-0.21,-76
1786035835420,13935,Thigh,-0.01464,-0.065392,1.042368,1.19,-2.38,-0.14,-76
1786035835569,14055,Thigh,-0.014152,-0.071736,1.047736,1.33,-2.66,-0.28,-76
1786035835715,14215,Thigh,-0.014152,-0.067832,1.046272,1.4,-2.52,-0.14,-76
1786035835888,14375,Thigh,-0.013176,-0.068808,1.047248,1.26,-2.59,-0.14,-76
1786035836007,14495,Thigh,-0.015616,-0.069296,1.045296,1.26,-2.59,-0.07,-76
