pc_timestamp,arduino_ms,node_position,ax,ay,az,gx,gy,gz,rssi
1785973441529,260422,Knee,0.191296,-0.967216,-0.163968,1.19,-4.2,-1.12,-64
1785973442057,260983,Knee,0.194224,-0.972584,-0.171288,2.1,-3.43,-0.49,-64
1785973442554,261467,Knee,0.1952,-0.968192,-0.177144,1.12,-4.41,-0.49,-65
1785973443062,261951,Knee,0.199592,-0.964776,-0.168848,1.47,-3.5,-0.91,-64
1785973443094,262031,Knee,0.19276,-0.970632,-0.15616,0.91,-4.41,-1.19,-64
1785973443677,262514,Knee,0.189344,-0.968192,-0.160064,1.05,-4.06,-0.77,-65
1785973443678,262593,Knee,0.186904,-0.964776,-0.16348,1.96,-3.92,-0.7,-65
1785973444188,263074,Knee,0.189832,-0.965264,-0.165432,1.33,-4.34,-0.91,-64
1785973444216,263154,Knee,0.192272,-0.965752,-0.16348,1.4,-4.2,-0.77,-64
1785973444700,263553,Knee,0.189832,-0.964288,-0.16348,1.61,-4.13,-0.98,-63
1785973444708,263633,Knee,0.187392,-0.965264,-0.16592,1.54,-4.2,-0.7,-63
1785973445212,264116,Knee,0.19032,-0.967216,-0.167872,1.75,-4.06,-0.7,-63
1785973445220,264196,Knee,0.190808,-0.967704,-0.164456,1.33,-4.2,-1.05,-63
1785973445724,264594,Knee,0.18788,-0.96868,-0.161528,1.4,-4.2,-1.05,-64
1785973445752,264673,Knee,0.186904,-0.96136,-0.16592,1.54,-3.99,-0.91,-64
1785973446236,265153,Knee,0.189832,-0.967704,-0.162992,1.61,-4.06,-0.84,-64
1785973446748,265639,Knee,0.189832,-0.967216,-0.166408,1.33,-4.13,-0.77,-64
1785973447280,266203,Knee,0.187392,-0.965264,-0.162016,1.05,-4.06,-0.91,-63
1785973447772,266685,Knee,0.188856,-0.966728,-0.161528,1.33,-4.2,-0.91,-64
1785973448386,267250,Knee,0.188856,-0.965264,-0.166408,1.47,-4.13,-0.7,-64
1785973448405,267330,Knee,0.185928,-0.966728,-0.161528,1.47,-4.06,-0.7,-64
1785973448898,267730,Knee,0.188856,-0.965752,-0.165432,1.26,-4.2,-0.77,-64
1785973448900,267811,Knee,0.188856,-0.967704,-0.166408,1.33,-4.06,-0.91,-64
1785973448905,267891,Knee,0.19032,-0.9638,-0.164456,1.4,-4.27,-0.91,-64
1785973449411,268294,Knee,0.184464,-0.966728,-0.163968,1.26,-4.2,-0.98,-64
1785973449412,268373,Knee,0.190808,-0.968192,-0.16836,1.75,-3.92,-0.91,-64
1785973449935,268854,Knee,0.192272,-0.960384,-0.174216,1.4,-4.34,-0.91,-64
1785973450434,269335,Knee,0.188856,-0.96868,-0.162992,0.98,-4.55,-1.47,-65
1785973450437,269416,Knee,0.197152,-0.967216,-0.167384,0.49,-4.62,-1.47,-65
1785973450980,269898,Knee,0.189344,-0.955992,-0.176168,1.89,-4.13,-1.19,-65
1785973451468,270380,Knee,0.194224,-0.96624,-0.169824,1.89,-3.99,-0.49,-66
1785973451974,270862,Knee,0.189832,-0.964776,-0.160064,1.68,-3.43,-0.42,-65
1785973452588,271423,Knee,0.188856,-0.9638,-0.169336,1.47,-4.13,-1.05,-65
1785973452596,271504,Knee,0.188368,-0.9638,-0.165432,1.47,-3.99,-0.91,-65
1785973453098,271985,Knee,0.186904,-0.964776,-0.164944,1.61,-3.92,-0.91,-64
1785973453611,272466,Knee,0.188368,-0.968192,-0.16348,1.33,-4.13,-0.91,-64
1785973453624,272547,Knee,0.188368,-0.96624,-0.165432,1.33,-4.2,-0.77,-64
1785973454122,273025,Knee,0.189344,-0.971608,-0.165432,1.33,-4.27,-0.84,-64
1785973454130,273106,Knee,0.186416,-0.964288,-0.166896,1.4,-3.85,-0.98,-64
1785973454636,273510,Knee,0.188368,-0.969168,-0.162016,1.12,-4.2,-1.19,-64
1785973455153,274072,Knee,0.189344,-0.96624,-0.165432,1.4,-4.2,-0.7,-64
1785973455656,274525,Knee,0.18788,-0.967704,-0.163968,1.19,-4.41,-0.7,-64
1785973455774,274685,Knee,0.182024,-0.960384,-0.162016,1.26,-4.13,-1.05,-64
1785973456186,275088,Knee,0.186904,-0.967216,-0.163968,1.4,-4.13,-0.91,-64
