pc_timestamp,arduino_ms,node_position,ax,ay,az,gx,gy,gz,rssi
1785973441529,236405,Lumbar,0.069784,-0.99308,0.109312,1.61,-2.1,0.07,-71
1785973442057,237045,Lumbar,0.064416,-0.987712,0.118096,1.4,-1.96,1.54,-70
1785973442552,237445,Lumbar,0.081008,-0.99308,0.096136,1.12,-2.45,-0.35,-70
1785973443094,238007,Lumbar,0.057096,-0.982832,0.125904,2.31,-1.4,0.7,-70
1785973443677,238490,Lumbar,0.055144,-0.991616,0.119072,1.4,-1.54,0.35,-70
1785973443678,238571,Lumbar,0.065392,-0.997472,0.10004,2.94,-2.1,0.49,-70
1785973444188,239049,Lumbar,0.060512,-0.998448,0.108824,1.05,-2.17,0.49,-70
1785973444216,239129,Lumbar,0.059536,-0.994544,0.116144,1.4,-2.31,0.42,-70
1785973444700,239610,Lumbar,0.059536,-0.991128,0.114192,1.19,-2.1,0.35,-70
1785973444708,239691,Lumbar,0.057584,-0.992592,0.110288,1.89,-2.17,0.07,-70
1785973445220,240092,Lumbar,0.059536,-0.994056,0.1098,1.61,-2.1,0.21,-70
1785973445724,240652,Lumbar,0.062952,-0.99064,0.110776,1.54,-2.03,0.28,-70
1785973445752,240732,Lumbar,0.05856,-0.994056,0.109312,1.12,-2.17,0.07,-70
1785973446236,241134,Lumbar,0.062464,-0.996496,0.107848,1.82,-2.1,0.21,-70
1785973446748,241698,Lumbar,0.061488,-0.992592,0.111264,1.82,-2.03,0.07,-70
1785973447280,242184,Lumbar,0.061,-0.996984,0.110776,1.75,-2.17,0.35,-70
1785973447772,242668,Lumbar,0.060024,-0.994056,0.111264,1.68,-2.17,-0.07,-70
1785973448386,243234,Lumbar,0.061,-0.994544,0.108336,1.47,-2.03,0.28,-70
1785973448405,243313,Lumbar,0.061488,-0.991616,0.1098,1.61,-2.03,0.14,-70
1785973448905,243791,Lumbar,0.060024,-0.996984,0.106872,1.96,-2.03,0.14,-70
1785973449412,244279,Lumbar,0.061,-0.994544,0.1098,1.47,-2.17,0.42,-70
1785973449935,244840,Lumbar,0.061976,-0.991616,0.09516,0.28,-1.89,-0.07,-70
1785973450437,245322,Lumbar,0.056608,-0.999424,0.099552,2.17,-2.31,-0.84,-71
1785973450980,245883,Lumbar,0.056608,-0.99552,0.106384,1.96,-2.24,1.33,-71
1785973451468,246365,Lumbar,0.050264,-0.99552,0.108336,1.54,-1.12,0.07,-71
1785973451974,246847,Lumbar,0.055632,-0.990152,0.11468,1.89,-2.1,0.28,-70
1785973452588,247412,Lumbar,0.058072,-0.992104,0.11224,1.96,-1.82,0.35,-70
1785973452596,247492,Lumbar,0.055144,-0.994544,0.116144,1.61,-1.75,0.21,-70
1785973453098,247970,Lumbar,0.05124,-0.990152,0.11712,1.75,-1.89,0,-70
1785973453611,248449,Lumbar,0.054656,-0.99308,0.110288,1.61,-2.1,0.07,-70
1785973453624,248528,Lumbar,0.05612,-0.998448,0.105408,1.68,-2.03,0.14,-70
