pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1786633614550,981306,Thigh,tug,-0.3294,0.183,0.964776,2.03,-2.8,0,-64
1786633614550,981323,Thigh,tug,-0.328424,0.183488,0.9638,2.17,-2.66,-0.21,-64
1786633614550,981354,Thigh,tug,-0.333792,0.184464,0.960872,0.91,-2.31,-0.28,-64
1786633614550,981371,Thigh,tug,-0.33428,0.183976,0.965752,0.91,-2.38,-0.21,-64
1786633614550,981388,Thigh,tug,-0.334768,0.182512,0.973072,1.12,-2.52,-0.21,-64
1786633614550,981405,Thigh,tug,-0.33428,0.182024,0.973072,1.54,-2.8,-0.14,-64
1786633614550,981422,Thigh,tug,-0.330864,0.183488,0.96868,1.75,-3.01,-0.14,-64
1786633614550,981452,Thigh,tug,-0.329888,0.182512,0.965264,1.4,-2.45,-0.21,-64
1786633614550,981469,Thigh,tug,-0.331352,0.181048,0.966728,1.12,-2.24,-0.28,-64
1786633614550,981486,Thigh,tug,-0.331352,0.179584,0.96868,1.19,-2.38,-0.28,-64
1786633614896,981661,Thigh,tug,-0.333304,0.182512,0.967216,1.4,-2.52,-0.07,-65
1786633614896,981692,Thigh,tug,-0.332816,0.183488,0.967704,1.47,-2.38,0,-65
1786633614896,981709,Thigh,tug,-0.331352,0.183976,0.967704,1.47,-2.31,0.07,-65
1786633614896,981726,Thigh,tug,-0.330864,0.183488,0.967216,1.4,-2.24,0.07,-65
1786633614896,981743,Thigh,tug,-0.330864,0.18544,0.966728,1.33,-2.38,0,-65
1786633614896,981774,Thigh,tug,-0.33428,0.183,0.966728,1.26,-2.45,-0.07,-65
1786633614896,981791,Thigh,tug,-0.333792,0.183,0.967216,1.19,-2.45,-0.07,-65
1786633614896,981808,Thigh,tug,-0.33428,0.183,0.967704,1.12,-2.52,-0.07,-65
1786633614896,981824,Thigh,tug,-0.333792,0.182024,0.967704,1.12,-2.52,-0.07,-65
1786633614896,981841,Thigh,tug,-0.330864,0.182512,0.967704,1.12,-2.52,0,-65
1786633615252,982016,Thigh,tug,-0.332816,0.183488,0.967704,1.33,-2.59,-0.14,-65
1786633615252,982047,Thigh,tug,-0.330864,0.183488,0.967216,1.26,-2.45,-0.14,-65
1786633615252,982064,Thigh,tug,-0.329888,0.182512,0.970144,1.26,-2.38,0,-65
1786633615252,982081,Thigh,tug,-0.330376,0.183,0.96868,1.26,-2.45,0,-65
1786633615252,982098,Thigh,tug,-0.328912,0.183488,0.968192,1.19,-2.31,-0.07,-65
1786633615252,982129,Thigh,tug,-0.331352,0.181536,0.96868,1.19,-2.38,-0.21,-65
1786633615252,982146,Thigh,tug,-0.333792,0.181536,0.96868,1.19,-2.45,-0.21,-65
1786633615252,982163,Thigh,tug,-0.33428,0.182512,0.968192,1.26,-2.38,-0.21,-65
1786633615252,982180,Thigh,tug,-0.333304,0.181048,0.967704,1.26,-2.45,-0.21,-65
1786633615252,982197,Thigh,tug,-0.332816,0.181536,0.967704,1.26,-2.38,-0.07,-65
1786633615609,982372,Thigh,tug,-0.333304,0.183,0.967704,1.26,-2.73,-0.14,-65
1786633615609,982404,Thigh,tug,-0.330864,0.183,0.968192,1.19,-2.66,-0.21,-65
1786633615609,982421,Thigh,tug,-0.329888,0.183,0.967704,1.26,-2.52,-0.21,-65
1786633615609,982438,Thigh,tug,-0.330376,0.183488,0.96868,1.26,-2.45,-0.21,-65
1786633615609,982455,Thigh,tug,-0.331352,0.183,0.96868,1.19,-2.45,-0.14,-65
1786633615609,982486,Thigh,tug,-0.332816,0.181048,0.969656,1.26,-2.59,-0.07,-65
1786633615609,982503,Thigh,tug,-0.331352,0.181048,0.967704,1.33,-2.73,-0.07,-65
1786633615609,982520,Thigh,tug,-0.3294,0.182512,0.96868,1.33,-2.8,-0.14,-65
1786633615609,982537,Thigh,tug,-0.329888,0.183,0.96868,1.33,-2.52,-0.21,-65
1786633615609,982554,Thigh,tug,-0.3294,0.183488,0.969168,1.33,-2.45,-0.14,-65
1786633616021,982782,Thigh,tug,-0.33184,0.183976,0.96868,1.26,-2.31,-0.14,-59
1786633616021,982814,Thigh,tug,-0.333792,0.182024,0.967704,1.19,-2.38,-0.21,-59
1786633616021,982831,Thigh,tug,-0.334768,0.181048,0.967216,1.19,-2.45,-0.21,-59
1786633616021,982848,Thigh,tug,-0.335256,0.181536,0.968192,1.26,-2.59,-0.21,-59
