pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1786633791799,1039017,Lumbar,tug_2,0.069296,1.01748,0.074176,1.12,-2.03,0.49,-54
1786633791799,1039034,Lumbar,tug_2,0.070272,1.015528,0.075152,1.19,-2.03,0.35,-54
1786633791799,1039065,Lumbar,tug_2,0.072224,1.011624,0.077592,1.26,-2.1,0.35,-54
1786633791799,1039084,Lumbar,tug_2,0.071248,1.0126,0.080032,1.54,-2.24,0.21,-54
1786633791799,1039101,Lumbar,tug_2,0.068808,1.015528,0.07808,1.75,-2.38,0.21,-54
1786633791799,1039118,Lumbar,tug_2,0.067344,1.016992,0.077104,1.82,-2.38,0.28,-54
1786633791799,1039135,Lumbar,tug_2,0.066856,1.016992,0.076128,1.75,-2.24,0.42,-54
1786633791799,1039152,Lumbar,tug_2,0.067832,1.016504,0.076616,1.54,-2.1,0.49,-54
1786633791799,1039183,Lumbar,tug_2,0.067832,1.01748,0.073688,1.47,-1.96,0.77,-54
1786633791799,1039200,Lumbar,tug_2,0.067344,1.016016,0.072224,1.47,-2.03,0.7,-54
1786633792215,1039375,Lumbar,tug_2,0.07076,1.016016,0.072224,1.54,-2.1,0.42,-54
1786633792215,1039407,Lumbar,tug_2,0.069296,1.013576,0.07076,1.61,-2.03,0.49,-54
1786633792215,1039424,Lumbar,tug_2,0.070272,1.015528,0.07564,1.4,-2.03,0.49,-54
1786633792215,1039441,Lumbar,tug_2,0.068808,1.014552,0.078568,1.4,-1.96,0.56,-54
1786633792215,1039458,Lumbar,tug_2,0.068808,1.015528,0.076616,1.82,-1.89,0.63,-54
1786633792215,1039489,Lumbar,tug_2,0.069784,1.01748,0.072224,1.82,-1.89,0.63,-54
1786633792215,1039506,Lumbar,tug_2,0.07076,1.016992,0.070272,1.47,-2.17,0.35,-54
1786633792215,1039523,Lumbar,tug_2,0.069784,1.016992,0.069296,1.4,-2.24,0.28,-54
1786633792215,1039540,Lumbar,tug_2,0.069296,1.01504,0.068808,1.26,-2.31,0.28,-54
1786633792215,1039557,Lumbar,tug_2,0.067832,1.016504,0.07076,1.19,-2.31,0.35,-54
1786633792523,1039731,Lumbar,tug_2,0.07564,1.01504,0.077592,1.12,-2.03,0.28,-54
1786633792523,1039762,Lumbar,tug_2,0.074176,1.013088,0.075152,1.12,-2.03,0.14,-54
1786633792523,1039779,Lumbar,tug_2,0.074176,1.0126,0.07564,1.33,-2.03,0.14,-54
1786633792523,1039796,Lumbar,tug_2,0.071736,1.013088,0.074176,1.47,-2.03,0.21,-54
1786633792523,1039813,Lumbar,tug_2,0.069784,1.014064,0.074664,1.47,-1.96,0.21,-54
1786633792523,1039844,Lumbar,tug_2,0.071736,1.016016,0.07564,1.4,-1.96,0.14,-54
1786633792523,1039861,Lumbar,tug_2,0.070272,1.016504,0.07564,1.4,-1.96,0.21,-54
1786633792523,1039878,Lumbar,tug_2,0.069784,1.014064,0.077592,1.47,-1.96,0.21,-54
1786633792523,1039896,Lumbar,tug_2,0.069296,1.015528,0.07808,1.54,-1.96,0.21,-54
1786633792523,1039913,Lumbar,tug_2,0.070272,1.014064,0.077592,1.47,-2.03,0.21,-54
1786633792909,1040088,Lumbar,tug_2,0.070272,1.01504,0.074176,1.75,-2.1,0.77,-54
1786633792909,1040118,Lumbar,tug_2,0.072224,1.016504,0.0732,1.54,-2.1,0.63,-54
1786633792909,1040135,Lumbar,tug_2,0.072712,1.01748,0.072224,1.54,-2.17,0.56,-54
1786633792909,1040153,Lumbar,tug_2,0.074664,1.017968,0.071736,1.4,-2.24,0.35,-54
1786633792909,1040170,Lumbar,tug_2,0.072712,1.016016,0.0732,1.33,-2.31,0.28,-54
1786633792909,1040201,Lumbar,tug_2,0.072224,1.0126,0.076616,1.54,-2.17,0.28,-54
1786633792909,1040218,Lumbar,tug_2,0.073688,1.014064,0.077104,1.54,-2.17,0.35,-54
1786633792909,1040235,Lumbar,tug_2,0.0732,1.016992,0.079544,1.4,-2.24,0.28,-54
1786633792909,1040252,Lumbar,tug_2,0.072224,1.01748,0.075152,1.26,-2.03,0.56,-54
1786633792909,1040269,Lumbar,tug_2,0.071248,1.01504,0.074176,1.26,-1.96,0.63,-54
1786633793293,1040444,Lumbar,tug_2,0.071248,1.014552,0.074176,1.33,-2.24,0.21,-59
1786633793293,1040475,Lumbar,tug_2,0.0732,1.014064,0.077592,1.26,-2.24,0.35,-59
1786633793293,1040492,Lumbar,tug_2,0.074176,1.01504,0.081008,1.33,-2.24,0.35,-59
1786633793293,1040509,Lumbar,tug_2,0.072712,1.017968,0.081008,1.12,-2.17,0.35,-59
1786633793293,1040526,Lumbar,tug_2,0.074176,1.016016,0.079544,1.26,-2.17,0.35,-59
1786633793293,1040556,Lumbar,tug_2,0.072712,1.01504,0.07808,1.33,-2.1,0.35,-59
