pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1786635850159,1598969,Thigh,sit,-0.495808,-0.393328,0.815448,0.49,-1.89,0.77,-55
1786635850159,1598986,Thigh,sit,-0.493856,-0.396744,0.815936,0.14,-1.47,1.12,-55
1786635850159,1599017,Thigh,sit,-0.49532,-0.40016,0.813984,-0.28,-0.77,1.33,-55
1786635850159,1599034,Thigh,sit,-0.496296,-0.40504,0.812032,-0.21,-0.56,1.33,-55
1786635850159,1599051,Thigh,sit,-0.498736,-0.406016,0.813008,0.07,-0.35,1.33,-55
1786635850159,1599068,Thigh,sit,-0.501664,-0.40504,0.811056,0.42,-0.28,1.05,-55
1786635850159,1599085,Thigh,sit,-0.503616,-0.40504,0.81008,0.56,-0.49,0.63,-55
1786635850159,1599116,Thigh,sit,-0.511912,-0.409432,0.803248,1.47,-0.98,-0.07,-55
1786635850159,1599134,Thigh,sit,-0.512888,-0.408944,0.800808,1.82,-1.68,-0.42,-55
1786635850159,1599151,Thigh,sit,-0.515328,-0.406992,0.799832,2.03,-1.89,-0.63,-55
1786635850511,1599328,Thigh,sit,-0.49776,-0.400648,0.812032,1.05,-3.57,-1.12,-54
1786635850511,1599359,Thigh,sit,-0.497272,-0.405528,0.812032,0.98,-3.36,-0.91,-54
1786635850511,1599376,Thigh,sit,-0.495808,-0.405528,0.810568,0.98,-3.29,-0.77,-54
1786635850511,1599393,Thigh,sit,-0.495808,-0.40504,0.811056,0.91,-3.36,-0.49,-54
1786635850511,1599410,Thigh,sit,-0.49776,-0.406504,0.811056,0.98,-3.36,-0.35,-54
1786635850511,1599441,Thigh,sit,-0.498248,-0.403576,0.81008,0.91,-3.22,-0.14,-54
1786635850511,1599458,Thigh,sit,-0.499224,-0.398696,0.811056,0.98,-3.22,0.07,-54
1786635850511,1599475,Thigh,sit,-0.501176,-0.396744,0.808128,1.05,-3.15,0.21,-54
1786635850511,1599492,Thigh,sit,-0.500688,-0.39772,0.807152,1.05,-3.36,-0.35,-54
1786635850511,1599509,Thigh,sit,-0.500688,-0.39772,0.810568,0.98,-3.15,-0.21,-54
1786635850871,1599686,Thigh,sit,-0.48312,-0.402112,0.81984,1.47,-3.08,-1.26,-54
1786635850871,1599717,Thigh,sit,-0.479216,-0.403576,0.821792,1.54,-2.31,-0.84,-54
1786635850871,1599734,Thigh,sit,-0.480192,-0.404552,0.820816,1.4,-1.82,-0.42,-54
1786635850871,1599751,Thigh,sit,-0.48312,-0.404552,0.819352,1.4,-1.33,-0.07,-54
1786635850871,1599768,Thigh,sit,-0.484584,-0.404552,0.817888,1.47,-1.05,0.21,-54
1786635850871,1599799,Thigh,sit,-0.488,-0.403088,0.815936,1.33,-0.63,0.7,-54
1786635850871,1599816,Thigh,sit,-0.491904,-0.402112,0.813984,1.33,-0.28,0.98,-54
1786635850871,1599833,Thigh,sit,-0.493856,-0.402112,0.813496,1.19,-0.14,1.12,-54
1786635850871,1599850,Thigh,sit,-0.497272,-0.401624,0.812032,1.12,-0.07,1.19,-54
1786635850871,1599867,Thigh,sit,-0.498736,-0.402112,0.809592,0.98,0.07,1.4,-54
1786635851240,1600045,Thigh,sit,-0.518744,-0.396256,0.801784,0.7,-2.52,1.19,-55
1786635851240,1600076,Thigh,sit,-0.51728,-0.395768,0.801296,0.35,-2.94,1.05,-55
1786635851240,1600093,Thigh,sit,-0.515328,-0.396744,0.801784,0.35,-3.29,0.98,-55
1786635851240,1600110,Thigh,sit,-0.512888,-0.39772,0.803248,0.28,-3.5,0.91,-55
1786635851240,1600127,Thigh,sit,-0.5124,-0.398208,0.803736,0.21,-3.85,0.77,-55
1786635851240,1600158,Thigh,sit,-0.508984,-0.398696,0.8052,0.35,-4.06,0.56,-55
1786635851240,1600175,Thigh,sit,-0.508008,-0.40016,0.807152,0.42,-4.13,0.49,-55
1786635851240,1600192,Thigh,sit,-0.50508,-0.40016,0.80764,0.49,-4.27,0.35,-55
1786635851240,1600209,Thigh,sit,-0.502152,-0.400648,0.808616,0.49,-4.2,0.42,-55
1786635851240,1600226,Thigh,sit,-0.501176,-0.399184,0.81008,0.42,-4.13,0.49,-55
1786635851693,1600404,Thigh,sit,-0.49532,-0.403576,0.813984,1.19,-2.73,-0.14,-55
1786635851693,1600434,Thigh,sit,-0.496296,-0.40504,0.813008,1.26,-2.59,-0.35,-55
1786635851693,1600451,Thigh,sit,-0.496784,-0.406504,0.812032,1.4,-2.38,-0.42,-55
1786635851693,1600467,Thigh,sit,-0.496784,-0.40748,0.811544,1.47,-2.31,-0.49,-55
1786635851693,1600484,Thigh,sit,-0.495808,-0.406504,0.811056,1.47,-2.17,-0.49,-55
1786635851693,1600515,Thigh,sit,-0.49776,-0.403088,0.81008,1.68,-2.24,-0.35,-55
1786635851693,1600532,Thigh,sit,-0.498736,-0.403576,0.811056,1.68,-2.17,-0.42,-55
1786635851693,1600549,Thigh,sit,-0.502152,-0.4026,0.810568,1.75,-2.03,-0.49,-55
1786635851693,1600567,Thigh,sit,-0.501664,-0.402112,0.809592,1.82,-2.03,-0.63,-55
1786635851693,1600584,Thigh,sit,-0.5002,-0.400648,0.806664,2.03,-2.1,-0.77,-55
1786635852010,1600761,Thigh,sit,-0.499712,-0.401136,0.81008,1.61,-1.96,-0.21,-57
1786635852010,1600792,Thigh,sit,-0.50264,-0.398696,0.808616,1.54,-2.03,-0.07,-57
1786635852010,1600809,Thigh,sit,-0.50264,-0.398208,0.80764,1.54,-1.96,-0.07,-57
1786635852010,1600826,Thigh,sit,-0.503616,-0.398208,0.807152,1.54,-1.96,0,-57
1786635852010,1600843,Thigh,sit,-0.505568,-0.397232,0.807152,1.54,-1.89,0,-57
1786635852010,1600874,Thigh,sit,-0.508008,-0.397232,0.8052,1.33,-2.1,-0.07,-57
1786635852010,1600891,Thigh,sit,-0.50752,-0.397232,0.805688,1.33,-2.24,-0.07,-57
1786635852010,1600908,Thigh,sit,-0.508984,-0.39772,0.805688,1.19,-2.31,0,-57
1786635852010,1600925,Thigh,sit,-0.508008,-0.398208,0.806176,1.19,-2.38,0.07,-57
1786635852010,1600942,Thigh,sit,-0.504592,-0.396744,0.807152,1.05,-2.45,0.07,-57
1786635852304,1601119,Thigh,sit,-0.499224,-0.403088,0.81008,1.26,-3.01,0,-56
1786635852304,1601150,Thigh,sit,-0.498736,-0.40016,0.811544,1.47,-2.73,-0.07,-56
1786635852304,1601166,Thigh,sit,-0.499712,-0.399184,0.811544,1.47,-2.73,-0.07,-56
