pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1786631115916,1344932,Thigh,tug_4,-0.13176,0.264984,0.999912,1.12,-2.38,-0.28,-70
1786631115916,1344950,Thigh,tug_4,-0.13176,0.264984,0.998936,1.12,-2.31,-0.28,-70
1786631115916,1344967,Thigh,tug_4,-0.132248,0.26352,0.999912,1.05,-2.38,-0.28,-70
1786631115916,1344998,Thigh,tug_4,-0.134688,0.262056,1.001376,0.98,-2.38,-0.28,-70
1786631115916,1345015,Thigh,tug_4,-0.130784,0.26108,1.003816,0.91,-2.31,-0.21,-70
1786631115916,1345032,Thigh,tug_4,-0.12932,0.262056,1.005768,0.84,-2.17,-0.14,-70
1786631115916,1345049,Thigh,tug_4,-0.127856,0.263032,1.003816,0.91,-2.03,-0.14,-70
1786631115916,1345080,Thigh,tug_4,-0.132248,0.258152,0.998448,0.91,-2.31,-0.21,-70
1786631115916,1345096,Thigh,tug_4,-0.133224,0.259128,0.998448,1.05,-2.1,-0.07,-70
1786631115916,1345113,Thigh,tug_4,-0.134688,0.26108,1.001864,0.91,-2.03,0,-70
1786631116268,1345290,Thigh,tug_4,-0.131272,0.26596,0.99796,1.68,-3.01,-0.07,-70
1786631116268,1345321,Thigh,tug_4,-0.13176,0.26596,0.996984,1.33,-3.08,0,-70
1786631116268,1345338,Thigh,tug_4,-0.132736,0.264008,0.998448,1.26,-3.22,0,-70
1786631116268,1345355,Thigh,tug_4,-0.13176,0.265472,1.002352,1.12,-3.01,0.07,-70
1786631116268,1345372,Thigh,tug_4,-0.131272,0.26352,1.003328,1.05,-2.94,0,-70
1786631116268,1345403,Thigh,tug_4,-0.130784,0.259128,1.003816,1.26,-3.01,-0.14,-70
1786631116268,1345420,Thigh,tug_4,-0.127368,0.260592,1.003328,1.4,-2.73,-0.21,-70
1786631116268,1345436,Thigh,tug_4,-0.122488,0.262544,1.003816,1.33,-2.59,-0.21,-70
1786631116268,1345453,Thigh,tug_4,-0.121512,0.262544,1.003328,1.33,-2.52,-0.21,-70
1786631116268,1345470,Thigh,tug_4,-0.122,0.263032,1.000888,1.33,-2.38,-0.21,-70
1786631116630,1345646,Thigh,tug_4,-0.12688,0.25376,1.007232,0.7,-2.94,-0.14,-68
1786631116630,1345677,Thigh,tug_4,-0.104432,0.251808,1.016504,1.12,-2.45,0.14,-68
1786631116630,1345694,Thigh,tug_4,-0.101016,0.257176,1.0126,1.54,-1.89,0.42,-68
1786631116630,1345711,Thigh,tug_4,-0.10004,0.259616,1.009672,1.61,-1.61,0.49,-68
1786631116630,1345728,Thigh,tug_4,-0.105408,0.264008,1.00284,1.61,-1.12,0.56,-68
1786631116630,1345759,Thigh,tug_4,-0.12444,0.268888,0.997472,1.33,-0.91,0.56,-68
1786631116630,1345776,Thigh,tug_4,-0.140544,0.270352,0.998448,1.12,-0.91,0.56,-68
1786631116630,1345793,Thigh,tug_4,-0.152744,0.269864,0.996984,1.05,-1.26,0.42,-68
1786631116630,1345809,Thigh,tug_4,-0.162504,0.267424,0.996008,0.98,-1.68,0.21,-68
1786631116630,1345826,Thigh,tug_4,-0.16592,0.264984,0.992104,0.84,-2.24,0.07,-68
1786631116984,1346003,Thigh,tug_4,-0.118584,0.261568,1.004304,1.47,-2.73,-0.42,-68
1786631116984,1346035,Thigh,tug_4,-0.123952,0.263032,1.003328,1.47,-2.45,-0.14,-68
1786631116984,1346052,Thigh,tug_4,-0.124928,0.263032,1.00284,1.47,-2.24,-0.14,-68
1786631116984,1346069,Thigh,tug_4,-0.125416,0.26108,1.002352,1.47,-2.17,-0.07,-68
1786631116984,1346086,Thigh,tug_4,-0.124928,0.261568,1.0004,1.47,-2.1,0,-68
1786631116984,1346117,Thigh,tug_4,-0.12444,0.265472,1.001864,1.4,-1.68,0,-68
1786631116984,1346134,Thigh,tug_4,-0.128832,0.264496,0.999912,1.19,-1.61,0,-68
1786631116984,1346151,Thigh,tug_4,-0.1342,0.262544,0.998936,1.05,-1.75,-0.07,-68
1786631116984,1346168,Thigh,tug_4,-0.138592,0.260592,0.999912,1.05,-1.75,-0.07,-68
1786631116984,1346185,Thigh,tug_4,-0.139568,0.259616,1.000888,1.05,-1.89,0,-68
1786631117357,1346359,Thigh,tug_4,-0.135176,0.262544,1.001376,1.26,-2.24,-0.14,-68
1786631117357,1346390,Thigh,tug_4,-0.138104,0.264496,0.998448,1.26,-2.31,-0.21,-68
1786631117357,1346407,Thigh,tug_4,-0.138104,0.262544,0.998448,1.26,-2.31,-0.28,-68
1786631117357,1346424,Thigh,tug_4,-0.140056,0.262056,0.999912,1.19,-2.45,-0.35,-68
1786631117357,1346441,Thigh,tug_4,-0.139568,0.262056,1.000888,1.12,-2.52,-0.35,-68
1786631117357,1346472,Thigh,tug_4,-0.137128,0.262544,1.001376,1.19,-2.66,-0.42,-68
1786631117357,1346489,Thigh,tug_4,-0.13664,0.262056,1.001864,1.19,-2.8,-0.49,-68
1786631117357,1346506,Thigh,tug_4,-0.133712,0.261568,1.0004,1.19,-2.87,-0.42,-68
1786631117357,1346523,Thigh,tug_4,-0.13176,0.261568,1.0004,1.19,-2.73,-0.35,-68
1786631117357,1346540,Thigh,tug_4,-0.128344,0.261568,1.001864,1.12,-2.66,-0.28,-68
1786631117711,1346717,Thigh,tug_4,-0.131272,0.260592,1.000888,1.19,-2.8,0,-68
1786631117711,1346748,Thigh,tug_4,-0.126392,0.26108,1.001864,1.26,-2.59,0.14,-68
1786631117711,1346765,Thigh,tug_4,-0.125416,0.25864,1.00284,1.19,-2.52,0.21,-68
1786631117711,1346782,Thigh,tug_4,-0.125904,0.260104,1.003328,1.33,-2.38,0.14,-68
1786631117711,1346800,Thigh,tug_4,-0.12688,0.259616,1.00284,1.26,-2.31,-0.07,-68
1786631117711,1346831,Thigh,tug_4,-0.135664,0.26108,1.003328,1.54,-2.38,-0.14,-68
1786631117711,1346848,Thigh,tug_4,-0.13664,0.260104,1.002352,1.61,-2.31,-0.21,-68
1786631117711,1346865,Thigh,tug_4,-0.13908,0.261568,1.002352,1.61,-2.31,-0.28,-68
1786631117711,1346882,Thigh,tug_4,-0.14152,0.260592,0.999912,1.54,-2.59,-0.42,-68
1786631117711,1346899,Thigh,tug_4,-0.140056,0.260104,0.996984,1.61,-2.66,-0.28,-68
1786631118059,1347074,Thigh,tug_4,-0.142496,0.26596,0.997472,1.05,-2.59,-0.14,-68
1786631118059,1347105,Thigh,tug_4,-0.14396,0.261568,0.998936,0.98,-2.94,-0.35,-68
1786631118059,1347122,Thigh,tug_4,-0.142008,0.260104,0.999424,0.98,-3.08,-0.42,-68
1786631118059,1347139,Thigh,tug_4,-0.13908,0.258152,1.001376,1.05,-3.15,-0.42,-68
1786631118059,1347156,Thigh,tug_4,-0.133224,0.258152,1.001864,1.05,-3.01,-0.42,-68
1786631118059,1347187,Thigh,tug_4,-0.12444,0.257664,1.004792,1.19,-3.01,-0.28,-68
1786631118059,1347204,Thigh,tug_4,-0.122488,0.257176,1.004304,1.19,-3.01,-0.21,-68
1786631118059,1347221,Thigh,tug_4,-0.122488,0.258152,1.004792,1.26,-2.73,-0.07,-68
1786631118059,1347238,Thigh,tug_4,-0.122488,0.259616,1.003328,1.33,-2.45,0,-68
1786631118059,1347255,Thigh,tug_4,-0.122,0.26108,1.002352,1.4,-2.31,0.07,-68
1786631118422,1347431,Thigh,tug_4,-0.138104,0.26108,0.998936,1.33,-2.1,-0.21,-68
1786631118422,1347462,Thigh,tug_4,-0.13908,0.259616,1.001376,1.4,-2.1,-0.21,-68
1786631118422,1347479,Thigh,tug_4,-0.140544,0.260592,1.001376,1.47,-2.17,-0.28,-68
1786631118422,1347496,Thigh,tug_4,-0.141032,0.26108,0.999912,1.47,-2.38,-0.28,-68
1786631118422,1347513,Thigh,tug_4,-0.140056,0.262056,0.998448,1.47,-2.59,-0.35,-68
1786631118422,1347544,Thigh,tug_4,-0.13908,0.26108,0.998936,1.4,-2.73,-0.35,-68
1786631118422,1347561,Thigh,tug_4,-0.136152,0.26108,0.999424,1.33,-2.8,-0.28,-68
1786631118422,1347578,Thigh,tug_4,-0.1342,0.263032,0.999912,1.26,-2.8,-0.21,-68
1786631118422,1347595,Thigh,tug_4,-0.132736,0.26352,1.0004,1.19,-2.87,-0.14,-68
1786631118422,1347612,Thigh,tug_4,-0.131272,0.26352,1.0004,1.19,-2.87,-0.14,-68
1786631118776,1347787,Thigh,tug_4,-0.134688,0.262544,0.999912,1.4,-2.45,-0.14,-68
1786631118776,1347818,Thigh,tug_4,-0.137128,0.264496,1.000888,1.33,-2.59,-0.21,-68
1786631118776,1347835,Thigh,tug_4,-0.135176,0.262544,1.001376,1.4,-2.66,-0.14,-68
1786631118776,1347852,Thigh,tug_4,-0.136152,0.263032,0.999912,1.4,-2.8,-0.28,-68
1786631118776,1347869,Thigh,tug_4,-0.134688,0.26352,0.999424,1.33,-2.8,-0.35,-68
1786631118776,1347900,Thigh,tug_4,-0.132248,0.262056,0.998936,1.12,-2.73,-0.35,-68
1786631118776,1347917,Thigh,tug_4,-0.129808,0.261568,0.999912,0.91,-2.59,-0.28,-68
1786631118776,1347934,Thigh,tug_4,-0.12688,0.260104,1.000888,0.91,-2.45,-0.21,-68
1786631118776,1347951,Thigh,tug_4,-0.123952,0.258152,1.00284,0.91,-2.31,-0.21,-68
1786631118776,1347968,Thigh,tug_4,-0.120048,0.258152,1.005768,1.12,-2.17,-0.07,-68
1786631119135,1348146,Thigh,tug_4,-0.150304,0.263032,0.998936,1.4,-2.8,-0.28,-64
1786631119135,1348177,Thigh,tug_4,-0.142496,0.262056,0.998448,1.33,-3.15,-0.35,-64
1786631119135,1348194,Thigh,tug_4,-0.137616,0.262056,0.998448,1.12,-3.29,-0.49,-64
1786631119135,1348211,Thigh,tug_4,-0.13664,0.259616,1.000888,1.26,-3.36,-0.42,-64
1786631119135,1348228,Thigh,tug_4,-0.130784,0.260104,1.00284,1.33,-3.29,-0.28,-64
1786631119135,1348259,Thigh,tug_4,-0.123952,0.262544,1.002352,1.4,-3.15,-0.21,-64
1786631119135,1348276,Thigh,tug_4,-0.123464,0.263032,1.001864,1.4,-3.08,-0.14,-64
1786631119135,1348293,Thigh,tug_4,-0.123464,0.262544,1.000888,1.26,-3.01,-0.14,-64
1786631119135,1348310,Thigh,tug_4,-0.122488,0.262056,0.999912,1.19,-2.66,-0.14,-64
