pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1786630335827,38841,Lumbar,walk_2,0.305,-0.904264,-0.268888,1.96,-3.15,-0.28,-53
1786630335827,38858,Lumbar,walk_2,0.308904,-0.903288,-0.268888,1.82,-3.64,-0.77,-53
1786630335827,38875,Lumbar,walk_2,0.313784,-0.902312,-0.2684,1.82,-3.64,-1.05,-53
1786630335827,38906,Lumbar,walk_2,0.323056,-0.90036,-0.264984,1.47,-3.01,-0.98,-53
1786630335827,38923,Lumbar,walk_2,0.326472,-0.89792,-0.267424,1.4,-2.66,-0.84,-53
1786630335827,38940,Lumbar,walk_2,0.325008,-0.894992,-0.27084,1.26,-1.96,-0.42,-53
1786630335827,38957,Lumbar,walk_2,0.325496,-0.893528,-0.272304,1.05,-1.61,-0.21,-53
1786630335827,38975,Lumbar,walk_2,0.323544,-0.89304,-0.272792,0.98,-0.98,-0.14,-53
1786630335827,39007,Lumbar,walk_2,0.320616,-0.898896,-0.273768,0.63,-0.42,0.14,-53
1786630335827,39024,Lumbar,walk_2,0.320128,-0.90036,-0.272304,0.84,-0.56,0.07,-53
1786630336183,39199,Lumbar,walk_2,0.337696,-0.888648,-0.269864,-0.14,2.73,0.14,-53
1786630336183,39231,Lumbar,walk_2,0.335744,-0.892552,-0.269864,-1.33,3.92,0.49,-53
1786630336183,39248,Lumbar,walk_2,0.335744,-0.891576,-0.270352,-1.12,4.55,0.42,-53
1786630336183,39266,Lumbar,walk_2,0.335256,-0.8906,-0.271816,-1.75,4.83,0.63,-53
1786630336183,39283,Lumbar,walk_2,0.335256,-0.896456,-0.272304,-1.89,5.04,0.84,-53
1786630336183,39300,Lumbar,walk_2,0.332328,-0.903288,-0.275232,-1.68,5.81,1.4,-53
1786630336183,39331,Lumbar,walk_2,0.333304,-0.8906,-0.275232,-1.4,6.79,1.96,-53
1786630336183,39348,Lumbar,walk_2,0.333792,-0.88328,-0.27572,-2.03,7,2.03,-53
1786630336183,39365,Lumbar,walk_2,0.333304,-0.884744,-0.272304,-3.15,7.14,2.1,-53
1786630336183,39382,Lumbar,walk_2,0.332328,-0.894016,-0.272304,-3.57,7.56,2.24,-53
1786630336538,39556,Lumbar,walk_2,0.325496,-0.892552,-0.27328,-1.96,6.23,1.75,-51
1786630336538,39587,Lumbar,walk_2,0.32696,-0.903776,-0.271328,-1.4,5.88,1.68,-51
1786630336538,39605,Lumbar,walk_2,0.32208,-0.91012,-0.271328,-1.12,5.88,1.47,-51
1786630336538,39622,Lumbar,walk_2,0.312808,-0.914512,-0.272304,-0.07,5.67,1.54,-51
1786630336538,39639,Lumbar,walk_2,0.316224,-0.907192,-0.27572,0.63,5.04,1.4,-51
1786630336538,39670,Lumbar,walk_2,0.327448,-0.893528,-0.27328,0.84,4.34,0.98,-51
1786630336538,39687,Lumbar,walk_2,0.33184,-0.886208,-0.27328,0.63,4.34,0.91,-51
1786630336538,39704,Lumbar,walk_2,0.338184,-0.884256,-0.272792,-0.21,4.34,1.12,-51
1786630336538,39721,Lumbar,walk_2,0.3416,-0.8906,-0.272304,-0.07,4.62,1.47,-51
1786630336538,39738,Lumbar,walk_2,0.342576,-0.891088,-0.272792,0.49,4.97,1.82,-51
1786630336896,39912,Lumbar,walk_2,0.379176,-0.89548,-0.238632,2.73,14.14,8.05,-51
1786630336896,39944,Lumbar,walk_2,0.323056,-0.89792,-0.2562,1.89,17.43,10.57,-51
1786630336896,39961,Lumbar,walk_2,0.297192,-0.891088,-0.27572,-0.21,17.29,10.57,-51
1786630336896,39979,Lumbar,walk_2,0.293776,-0.90036,-0.27816,-2.8,15.75,9.73,-51
1786630336896,39996,Lumbar,walk_2,0.301584,-0.915488,-0.264496,-1.68,14.7,8.82,-51
1786630336896,40013,Lumbar,walk_2,0.304024,-0.911096,-0.257176,0.35,13.37,7.63,-51
1786630336896,40044,Lumbar,walk_2,0.31232,-0.899384,-0.247904,1.96,10.43,5.11,-51
