pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1787063147794,940920,Knee,walk,-0.093696,-0.99064,-0.218136,-10.92,16.66,19.39,-54
1787063147794,940937,Knee,walk,-0.071736,-0.982344,-0.208376,-10.5,14.21,18.83,-54
1787063147794,940968,Knee,walk,-0.032696,-0.96868,-0.181536,-11.27,19.18,17.36,-54
1787063147794,940985,Knee,walk,-0.079056,-0.962824,-0.189344,-11.2,20.86,16.8,-54
1787063147794,941002,Knee,walk,-0.095648,-0.965752,-0.19764,-11.13,22.47,16.1,-54
1787063147794,941019,Knee,walk,-0.121024,-0.97112,-0.22204,-10.64,22.12,14.42,-54
1787063147794,941036,Knee,walk,-0.122488,-0.974048,-0.22448,-10.71,18.9,12.67,-54
1787063147794,941067,Knee,walk,-0.119072,-0.976488,-0.22448,-10.99,16.31,10.57,-54
1787063147794,941084,Knee,walk,-0.104432,-0.97844,-0.217648,-11.2,13.23,9.73,-54
1787063147794,941101,Knee,walk,-0.048312,-0.982832,-0.188368,-12.32,12.18,9.73,-54
1787063148219,941279,Knee,walk,-0.135176,-0.947208,-0.15128,-49.91,1.89,13.79,-54
1787063148219,941310,Knee,walk,-0.07076,-0.93208,-0.1586,-58.45,4.9,16.17,-54
1787063148219,941327,Knee,walk,-0.066368,-0.918904,-0.175192,-64.33,7.21,17.43,-54
1787063148219,941345,Knee,walk,-0.06832,-0.918416,-0.179584,-71.4,8.05,18.9,-54
1787063148219,941361,Knee,walk,-0.080032,-0.93452,-0.179096,-74.97,9.1,19.46,-54
1787063148219,941392,Knee,walk,-0.13664,-1.120448,-0.250344,-92.26,9.52,22.54,-54
1787063148219,941409,Knee,walk,-0.020984,-1.232688,-0.2196,-94.85,10.64,26.95,-54
1787063148219,941426,Knee,walk,0.136152,-1.243424,-0.2074,-103.74,18.97,32.34,-54
1787063148219,941443,Knee,walk,0.298656,-1.333216,-0.109312,-117.39,37.94,37.8,-54
1787063148219,941460,Knee,walk,0.392352,-1.359568,-0.07076,-135.38,35.56,37.73,-54
1787063148513,941637,Knee,walk,-0.005368,-0.529968,-0.798368,5.95,46.76,65.73,-59
1787063148513,941668,Knee,walk,-0.042456,-0.293288,-0.936472,96.04,68.11,58.45,-59
1787063148513,941685,Knee,walk,-0.13176,-0.323056,-0.777384,114.66,36.26,40.6,-59
1787063148513,941702,Knee,walk,-0.25864,-0.330376,-0.833504,127.54,18.27,29.54,-59
1787063148513,941719,Knee,walk,-0.182512,-0.29768,-0.796416,152.81,-15.68,12.39,-59
1787063148513,941750,Knee,walk,0.086864,-0.423584,-0.750056,182,-43.33,-16.59,-59
1787063148513,941767,Knee,walk,0.254736,-0.489952,-0.66856,194.67,-40.74,-24.08,-59
1787063148513,941784,Knee,walk,0.31232,-0.472384,-0.615856,203.28,-12.95,-32.97,-59
1787063148513,941801,Knee,walk,0.194224,-0.573888,-0.639768,210.35,24.08,-43.26,-59
1787063148513,941818,Knee,walk,0.0732,-0.637328,-0.745176,222.46,32.83,-57.4,-59
1787063149032,941998,Knee,walk,0.179096,-0.864736,0.15616,98.77,34.72,-44.87,-59
1787063149032,942029,Knee,walk,0.257664,-0.692472,0.264008,40.11,31.08,-14.56,-59
1787063149032,942046,Knee,walk,0.208376,-0.657336,0.27084,0.07,33.39,6.51,-59
1787063149032,942063,Knee,walk,0.10736,-0.659288,0.154208,-41.44,26.88,22.12,-59
1787063149032,942080,Knee,walk,-0.074664,-0.725656,0.089792,-59.08,15.47,31.15,-59
1787063149032,942111,Knee,walk,-0.162504,-0.879864,-0.228384,-115.01,-44.45,43.54,-59
1787063149032,942128,Knee,walk,-0.172264,-1.036512,-0.262544,-118.02,-71.54,36.54,-59
1787063149032,942145,Knee,walk,0.148352,-1.892952,-0.029768,-76.58,-93.52,15.75,-59
1787063149032,942162,Knee,walk,0.280112,-1.655784,0.337696,44.73,-98.42,-10.22,-59
1787063149032,942179,Knee,walk,-0.157624,-0.489952,0.27328,-34.09,-86.03,28.42,-59
1787063149235,942358,Knee,walk,-0.137616,-0.98576,-0.098576,-24.64,-1.05,32.83,-65
1787063149235,942389,Knee,walk,-0.15616,-0.974536,-0.086864,-23.03,-9.66,30.38,-65
1787063149235,942406,Knee,walk,-0.07564,-1.005768,-0.086864,-22.75,-2.1,30.24,-65
