pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1786635850143,1646808,Knee,sit,0.3294,-0.94672,0.020984,1.4,-4.62,-0.77,-54
1786635850143,1646825,Knee,sit,0.328912,-0.947208,0.018544,1.33,-4.9,-0.7,-54
1786635850143,1646842,Knee,sit,0.331352,-0.945744,0.016104,1.19,-5.11,-0.7,-54
1786635850143,1646873,Knee,sit,0.337208,-0.945744,0.018056,1.12,-4.9,-0.56,-54
1786635850143,1646890,Knee,sit,0.339648,-0.947696,0.01708,1.19,-4.69,-0.42,-54
1786635850143,1646907,Knee,sit,0.341112,-0.946232,0.016592,1.26,-4.41,-0.28,-54
1786635850143,1646924,Knee,sit,0.341112,-0.945744,0.015128,1.26,-3.99,-0.21,-54
1786635850143,1646955,Knee,sit,0.337208,-0.946232,0.011712,1.12,-3.43,-0.21,-54
1786635850143,1646972,Knee,sit,0.335256,-0.94672,0.010736,1.19,-3.15,-0.35,-54
1786635850143,1646989,Knee,sit,0.32696,-0.948184,0.010248,1.19,-3.08,-0.49,-54
1786635850567,1647167,Knee,sit,0.333304,-0.94672,0.017568,1.47,-4.34,-1.82,-54
1786635850567,1647198,Knee,sit,0.335744,-0.947208,0.015128,1.61,-4.2,-1.68,-54
1786635850567,1647214,Knee,sit,0.336232,-0.947696,0.014152,1.68,-4.06,-1.61,-54
1786635850567,1647232,Knee,sit,0.333792,-0.946232,0.0122,1.68,-4.13,-1.54,-54
1786635850567,1647248,Knee,sit,0.333304,-0.945744,0.013664,1.68,-4.34,-1.47,-54
1786635850567,1647279,Knee,sit,0.331352,-0.94672,0.013176,1.68,-4.48,-1.47,-54
1786635850567,1647296,Knee,sit,0.331352,-0.945256,0.01708,1.68,-4.76,-1.47,-54
1786635850567,1647313,Knee,sit,0.331352,-0.944768,0.020984,1.47,-4.76,-1.54,-54
1786635850567,1647330,Knee,sit,0.330376,-0.946232,0.022448,1.4,-4.69,-1.54,-54
1786635850567,1647347,Knee,sit,0.330864,-0.949648,0.021472,1.75,-4.62,-1.47,-54
1786635850861,1647524,Knee,sit,0.343552,-0.943792,0.020984,1.19,-4.2,-1.4,-52
1786635850861,1647555,Knee,sit,0.345992,-0.94428,0.020008,0.98,-3.92,-0.98,-52
1786635850861,1647572,Knee,sit,0.347456,-0.943792,0.01952,0.91,-3.71,-0.7,-52
1786635850861,1647589,Knee,sit,0.345992,-0.94428,0.017568,0.91,-3.5,-0.42,-52
1786635850861,1647606,Knee,sit,0.344528,-0.94428,0.019032,0.98,-3.43,-0.21,-52
