pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1786636062407,1746991,Lumbar,tug,-0.150792,0.998448,-0.108336,1.75,-2.03,0.49,-58
1786636062407,1747009,Lumbar,tug,-0.151768,0.999912,-0.110288,1.54,-2.17,0.35,-58
1786636062407,1747026,Lumbar,tug,-0.152256,0.998936,-0.110288,1.47,-2.1,0.21,-58
1786636062407,1747056,Lumbar,tug,-0.149816,0.996008,-0.109312,1.54,-2.03,0.35,-58
1786636062407,1747073,Lumbar,tug,-0.148352,0.996008,-0.107848,1.61,-2.03,0.42,-58
1786636062407,1747090,Lumbar,tug,-0.152744,0.997472,-0.11224,1.61,-2.1,0.42,-58
1786636062407,1747107,Lumbar,tug,-0.152744,0.998448,-0.11224,1.75,-2.03,0.56,-58
1786636062407,1747138,Lumbar,tug,-0.14884,0.997472,-0.1098,1.54,-1.96,0.49,-58
1786636062407,1747155,Lumbar,tug,-0.150304,0.996984,-0.108336,1.33,-2.1,0.42,-58
1786636062407,1747172,Lumbar,tug,-0.150304,0.994544,-0.10736,1.33,-2.17,0.42,-58
1786636062686,1747350,Lumbar,tug,-0.150304,0.997472,-0.110776,1.82,-2.17,0.35,-58
1786636062686,1747381,Lumbar,tug,-0.148352,0.997472,-0.11224,1.82,-2.17,0.35,-58
1786636062686,1747398,Lumbar,tug,-0.147376,0.998448,-0.11224,1.75,-2.24,0.42,-58
1786636062686,1747415,Lumbar,tug,-0.146888,0.998936,-0.113704,1.61,-2.24,0.35,-58
1786636062686,1747433,Lumbar,tug,-0.147864,0.998448,-0.114192,1.47,-2.17,0.21,-58
1786636062686,1747451,Lumbar,tug,-0.150792,0.996496,-0.113216,1.4,-2.1,0.21,-58
1786636062686,1747482,Lumbar,tug,-0.150304,0.995032,-0.11224,1.12,-1.96,0.35,-58
1786636062686,1747499,Lumbar,tug,-0.150304,0.99552,-0.110776,1.12,-1.96,0.28,-58
1786636062686,1747516,Lumbar,tug,-0.150792,0.997472,-0.111752,1.12,-1.89,0.21,-58
1786636062686,1747533,Lumbar,tug,-0.150304,0.998448,-0.11224,0.98,-1.96,0.21,-58
1786636063047,1747711,Lumbar,tug,-0.149816,0.99796,-0.106872,1.47,-2.31,0.07,-59
1786636063047,1747743,Lumbar,tug,-0.154696,0.996008,-0.106384,1.68,-2.03,0.14,-59
1786636063047,1747759,Lumbar,tug,-0.154208,0.996496,-0.105408,1.68,-1.89,0.21,-59
1786636063047,1747777,Lumbar,tug,-0.15128,0.996496,-0.106384,1.75,-1.96,0.14,-59
1786636063047,1747794,Lumbar,tug,-0.154208,0.99796,-0.1098,1.68,-1.96,0,-59
1786636063047,1747825,Lumbar,tug,-0.15616,0.99796,-0.11224,2.03,-1.96,0.14,-59
1786636063047,1747842,Lumbar,tug,-0.153232,0.996008,-0.110288,1.89,-1.89,0.35,-59
1786636063047,1747859,Lumbar,tug,-0.15372,0.995032,-0.111264,1.68,-1.96,0.49,-59
1786636063047,1747876,Lumbar,tug,-0.15372,0.994056,-0.111264,1.68,-2.1,0.49,-59
1786636063047,1747893,Lumbar,tug,-0.155672,0.994544,-0.111752,1.75,-2.17,0.35,-59
1786636063404,1748070,Lumbar,tug,-0.149328,0.999912,-0.109312,2.03,-2.1,0.63,-59
1786636063404,1748101,Lumbar,tug,-0.149328,0.999424,-0.111752,1.68,-2.17,0.42,-59
1786636063404,1748118,Lumbar,tug,-0.150304,0.99796,-0.111752,1.61,-2.17,0.28,-59
1786636063404,1748135,Lumbar,tug,-0.152256,0.99552,-0.113216,1.54,-2.1,0.35,-59
1786636063404,1748153,Lumbar,tug,-0.151768,0.994544,-0.114192,1.54,-2.1,0.42,-59
1786636063404,1748171,Lumbar,tug,-0.153232,0.99552,-0.11224,1.54,-2.1,0.42,-59
1786636063404,1748201,Lumbar,tug,-0.151768,0.996496,-0.11224,1.47,-2.1,0.56,-59
1786636063404,1748218,Lumbar,tug,-0.152256,0.996008,-0.111752,1.47,-2.1,0.56,-59
1786636063404,1748235,Lumbar,tug,-0.151768,0.996984,-0.110776,1.47,-2.03,0.49,-59
1786636063404,1748252,Lumbar,tug,-0.152256,0.996496,-0.111752,1.4,-2.03,0.56,-59
1786636063766,1748429,Lumbar,tug,-0.15128,0.995032,-0.111752,1.68,-2.1,0,-59
1786636063766,1748460,Lumbar,tug,-0.152256,0.996496,-0.111752,2.45,-2.17,-0.14,-59
1786636063766,1748477,Lumbar,tug,-0.155672,0.994544,-0.112728,2.66,-2.1,-0.14,-59
1786636063766,1748494,Lumbar,tug,-0.155184,0.997472,-0.111752,2.8,-2.03,-0.21,-59
1786636063766,1748511,Lumbar,tug,-0.15616,0.996496,-0.114192,2.73,-2.31,-0.35,-59
1786636063766,1748542,Lumbar,tug,-0.160064,0.996984,-0.114192,2.8,-2.59,-0.49,-59
1786636063766,1748559,Lumbar,tug,-0.154696,0.994056,-0.110776,2.52,-2.66,-0.14,-59
1786636063766,1748576,Lumbar,tug,-0.151768,0.99552,-0.1098,2.31,-3.15,0.28,-59
1786636063766,1748593,Lumbar,tug,-0.152256,0.99796,-0.1098,2.03,-3.64,0.21,-59
1786636063766,1748610,Lumbar,tug,-0.152256,0.997472,-0.1098,1.96,-3.78,0.28,-59
