pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1786631002049,1231353,Thigh,tug_3,0.337696,0.037576,0.995032,1.54,-2.45,0.21,-62
1786631002049,1231370,Thigh,tug_3,0.337696,0.03904,0.995032,1.47,-2.31,0.21,-62
1786631002049,1231401,Thigh,tug_3,0.335256,0.040016,0.996496,1.47,-2.45,0.28,-62
1786631002049,1231418,Thigh,tug_3,0.335744,0.04148,0.997472,1.4,-2.45,0.28,-62
1786631002049,1231435,Thigh,tug_3,0.334768,0.040504,0.996984,1.4,-2.45,0.21,-62
1786631002049,1231452,Thigh,tug_3,0.336232,0.041968,0.996008,1.26,-2.24,0.07,-62
1786631002049,1231469,Thigh,tug_3,0.338672,0.042944,0.996496,1.19,-1.82,-0.21,-62
1786631002049,1231500,Thigh,tug_3,0.337696,0.040016,0.996008,1.05,-1.54,-0.42,-62
1786631002049,1231517,Thigh,tug_3,0.337208,0.037088,0.996008,1.19,-1.68,-0.28,-62
1786631002049,1231534,Thigh,tug_3,0.340136,0.0366,0.99552,1.33,-1.68,0.07,-62
1786631002399,1231708,Thigh,tug_3,0.312808,0.047824,0.999424,1.68,-1.75,0.42,-62
1786631002399,1231739,Thigh,tug_3,0.308416,0.040992,1.001376,1.33,-2.66,0.42,-62
1786631002399,1231756,Thigh,tug_3,0.312808,0.041968,1.003328,1.33,-3.08,0.28,-62
1786631002399,1231773,Thigh,tug_3,0.316712,0.04148,1.003328,1.12,-3.15,0.21,-62
1786631002399,1231790,Thigh,tug_3,0.322568,0.040992,1.001864,0.91,-3.29,-0.14,-62
1786631002399,1231821,Thigh,tug_3,0.327936,0.040992,1.000888,1.05,-3.36,-0.7,-62
1786631002399,1231838,Thigh,tug_3,0.3294,0.040992,0.997472,1.19,-3.57,-0.91,-62
1786631002399,1231855,Thigh,tug_3,0.330864,0.041968,0.996008,1.12,-3.57,-0.77,-62
1786631002399,1231872,Thigh,tug_3,0.333792,0.044896,0.996984,1.12,-3.57,-0.7,-62
1786631002399,1231889,Thigh,tug_3,0.33672,0.044408,0.996984,1.12,-3.29,-0.49,-62
1786631002772,1232065,Thigh,tug_3,0.336232,0.034648,0.996008,0.42,-2.66,-1.61,-62
