pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1787061642710,974988,Lumbar,tug_2,-0.0488,1.01016,0.206912,-0.56,-3.15,-0.63,-61
1787061642710,975006,Lumbar,tug_2,-0.047824,0.98332,0.210328,-0.28,-1.96,-1.61,-61
1787061642710,975023,Lumbar,tug_2,-0.033184,0.979904,0.20984,2.24,-0.42,-0.91,-61
1787061642710,975054,Lumbar,tug_2,-0.004392,1.005768,0.205448,3.92,2.24,1.4,-61
1787061642710,975071,Lumbar,tug_2,-0.000488,1.028704,0.20008,1.19,3.22,2.59,-61
1787061642710,975089,Lumbar,tug_2,-0.005856,1.013088,0.194712,-1.19,4.41,1.82,-61
1787061642710,975106,Lumbar,tug_2,-0.01464,1.011136,0.19032,-1.12,3.99,1.54,-61
1787061642710,975123,Lumbar,tug_2,-0.03416,1.005768,0.184952,-1.82,3.36,1.26,-61
1787061642710,975155,Lumbar,tug_2,-0.03172,0.981368,0.197152,1.61,0.63,1.4,-61
1787061642710,975172,Lumbar,tug_2,-0.039528,0.989176,0.195688,2.73,-1.47,0.91,-61
1787061643122,975347,Lumbar,tug_2,-0.033672,1.016016,0.174216,2.52,-1.68,0.91,-61
1787061643122,975379,Lumbar,tug_2,-0.04392,1.003328,0.169336,1.12,-1.54,-0.42,-61
1787061643122,975396,Lumbar,tug_2,-0.048312,1.002352,0.17568,0.35,-1.47,-0.28,-61
1787061643122,975413,Lumbar,tug_2,-0.049776,1.004792,0.186904,-0.28,-1.26,0,-61
1787061643122,975430,Lumbar,tug_2,-0.046848,1.004792,0.193736,-0.49,-0.7,0,-61
1787061643122,975461,Lumbar,tug_2,-0.04392,1.00284,0.199592,-0.07,-1.05,0.14,-61
1787061643122,975478,Lumbar,tug_2,-0.04392,1.004792,0.196664,0.56,-1.4,0.35,-61
1787061643122,975495,Lumbar,tug_2,-0.04392,1.006744,0.19764,0.14,-1.68,0.28,-61
1787061643122,975512,Lumbar,tug_2,-0.04636,1.004792,0.199592,-0.14,-1.75,0.14,-61
1787061643122,975529,Lumbar,tug_2,-0.047336,1.000888,0.20252,-0.35,-1.75,0.14,-61
1787061643416,975702,Lumbar,tug_2,-0.03904,1.003328,0.196176,2.73,-2.66,1.05,-58
1787061643416,975733,Lumbar,tug_2,-0.035624,1.00284,0.1952,2.52,-2.17,0.98,-58
1787061643416,975750,Lumbar,tug_2,-0.035624,1.0004,0.1952,2.66,-1.96,0.98,-58
1787061643416,975768,Lumbar,tug_2,-0.034648,0.999424,0.193248,2.87,-1.82,0.91,-58
1787061643416,975785,Lumbar,tug_2,-0.033672,1.000888,0.194224,2.94,-1.89,0.91,-58
1787061643416,975816,Lumbar,tug_2,-0.035624,1.001376,0.19032,3.15,-2.31,0.63,-58
1787061643416,975833,Lumbar,tug_2,-0.036112,1.001864,0.189344,3.22,-2.24,0.56,-58
1787061643416,975850,Lumbar,tug_2,-0.033672,1.004304,0.18788,2.87,-2.17,0.56,-58
1787061643416,975867,Lumbar,tug_2,-0.034648,1.007232,0.189344,2.45,-1.68,0.56,-58
1787061643416,975884,Lumbar,tug_2,-0.033672,1.006744,0.190808,1.96,-1.33,0.56,-58
1787061643940,976058,Lumbar,tug_2,-0.034648,1.006256,0.18056,2.38,-0.84,0.91,-58
1787061643940,976089,Lumbar,tug_2,-0.031232,1.004792,0.181536,1.4,-1.75,0.42,-58
1787061643940,976106,Lumbar,tug_2,-0.035624,1.00528,0.186904,1.26,-1.89,0.21,-58
1787061643940,976123,Lumbar,tug_2,-0.040504,1.001864,0.190808,1.4,-2.1,0.14,-58
1787061643940,976140,Lumbar,tug_2,-0.040504,1.001376,0.191296,1.96,-2.03,0.42,-58
1787061643940,976171,Lumbar,tug_2,-0.0366,1.003328,0.184952,2.31,-1.47,0.77,-58
1787061643940,976188,Lumbar,tug_2,-0.03416,1.005768,0.18056,2.03,-1.19,0.84,-58
1787061643940,976205,Lumbar,tug_2,-0.035624,1.009184,0.178608,1.61,-1.12,0.84,-58
1787061643940,976222,Lumbar,tug_2,-0.035624,1.009672,0.180072,0.56,-1.61,0.84,-58
1787061643940,976239,Lumbar,tug_2,-0.035624,1.006256,0.184464,0.42,-1.82,0.77,-58
1787061644128,976413,Lumbar,tug_2,-0.037576,0.995032,0.205936,-0.21,-0.91,0.7,-62
1787061644128,976444,Lumbar,tug_2,-0.037088,1.003328,0.19764,1.05,-1.05,1.12,-62
1787061644128,976461,Lumbar,tug_2,-0.037576,1.003328,0.192272,1.12,-1.89,0.49,-62
1787061644128,976478,Lumbar,tug_2,-0.03904,1.003328,0.188368,1.05,-2.8,0.28,-62
