pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1787066398771,184540,Thigh,sit,-0.964776,-0.242536,0.170312,1.54,-2.66,0.07,-54
1787066398771,184557,Thigh,sit,-0.9638,-0.240584,0.171288,1.54,-2.38,0.14,-54
1787066398771,184587,Thigh,sit,-0.967216,-0.241072,0.168848,1.19,-1.61,-0.21,-54
1787066398771,184604,Thigh,sit,-0.969656,-0.242048,0.165432,1.33,-1.75,-0.14,-54
1787066398771,184622,Thigh,sit,-0.969168,-0.24156,0.165432,1.54,-2.38,-0.14,-54
1787066398771,184638,Thigh,sit,-0.966728,-0.241072,0.16836,1.54,-2.52,-0.14,-54
1787066398771,184655,Thigh,sit,-0.96624,-0.24156,0.16836,1.4,-2.31,-0.28,-54
1787066398771,184686,Thigh,sit,-0.96624,-0.242536,0.16836,1.54,-2.31,-0.35,-54
1787066398771,184703,Thigh,sit,-0.96624,-0.242048,0.166896,1.47,-2.38,-0.42,-54
1787066398771,184720,Thigh,sit,-0.968192,-0.243024,0.166896,1.47,-2.52,-0.42,-54
1787066399187,184957,Thigh,sit,-0.966728,-0.242048,0.16836,1.19,-1.96,-0.07,-49
1787066399187,184987,Thigh,sit,-0.970144,-0.240584,0.162992,1.26,-2.03,-0.28,-49
1787066399187,185004,Thigh,sit,-0.97112,-0.242048,0.162992,1.33,-2.52,-0.35,-49
1787066399187,185021,Thigh,sit,-0.97112,-0.242536,0.16348,1.54,-2.73,-0.42,-49
1787066399187,185038,Thigh,sit,-0.969168,-0.242536,0.164944,1.47,-2.94,-0.35,-49
1787066399187,185069,Thigh,sit,-0.96624,-0.242048,0.164456,1.54,-3.36,-0.28,-49
1787066399187,185086,Thigh,sit,-0.967216,-0.242048,0.167872,1.54,-3.36,-0.21,-49
1787066399187,185103,Thigh,sit,-0.96624,-0.244,0.1708,1.68,-3.29,-0.21,-49
1787066399187,185120,Thigh,sit,-0.964776,-0.242048,0.170312,1.68,-3.08,0,-49
1787066399187,185137,Thigh,sit,-0.9638,-0.240584,0.171288,1.61,-2.94,0.14,-49
1787066399546,185313,Thigh,sit,-0.968192,-0.241072,0.164944,1.05,-1.05,-0.63,-49
1787066399546,185344,Thigh,sit,-0.96868,-0.239608,0.164944,1.19,-1.12,-0.56,-49
1787066399546,185360,Thigh,sit,-0.969656,-0.243024,0.162504,1.12,-1.4,-0.63,-49
1787066399546,185378,Thigh,sit,-0.968192,-0.244976,0.163968,1.26,-1.82,-0.49,-49
1787066399546,185394,Thigh,sit,-0.966728,-0.245952,0.16592,1.26,-1.89,-0.14,-49
1787066399546,185425,Thigh,sit,-0.96868,-0.242048,0.162504,0.91,-1.89,0.21,-49
1787066399546,185442,Thigh,sit,-0.969656,-0.243024,0.162992,1.05,-2.1,0,-49
1787066399546,185459,Thigh,sit,-0.970632,-0.244976,0.162504,1.33,-2.45,-0.07,-49
1787066399546,185476,Thigh,sit,-0.968192,-0.244,0.164944,1.4,-2.52,0.07,-49
1787066399546,185493,Thigh,sit,-0.968192,-0.243512,0.165432,1.26,-2.73,0.42,-49
1787066399903,185670,Thigh,sit,-0.970144,-0.238632,0.16348,1.47,-2.73,-0.49,-49
1787066399903,185701,Thigh,sit,-0.969168,-0.240584,0.164456,1.54,-3.01,-0.63,-49
1787066399903,185718,Thigh,sit,-0.968192,-0.240584,0.164944,1.54,-3.15,-0.56,-49
1787066399903,185735,Thigh,sit,-0.967704,-0.240096,0.167384,1.47,-3.15,-0.56,-49
1787066399903,185752,Thigh,sit,-0.965752,-0.240584,0.166408,1.47,-3.08,-0.35,-49
1787066399903,185782,Thigh,sit,-0.965752,-0.241072,0.167872,1.33,-2.66,-0.21,-49
1787066399903,185799,Thigh,sit,-0.96624,-0.240584,0.167872,1.33,-2.45,-0.14,-49
1787066399903,185816,Thigh,sit,-0.966728,-0.240584,0.166408,1.33,-2.38,-0.07,-49
1787066399903,185833,Thigh,sit,-0.967216,-0.241072,0.165432,1.33,-2.38,0,-49
1787066399903,185850,Thigh,sit,-0.967704,-0.241072,0.165432,1.33,-2.45,-0.07,-49
1787066400261,186027,Thigh,sit,-0.96624,-0.240584,0.167872,1.4,-2.45,-0.21,-56
1787066400261,186058,Thigh,sit,-0.969168,-0.24156,0.16592,1.4,-2.17,-0.21,-56
1787066400261,186075,Thigh,sit,-0.96868,-0.242536,0.164456,1.54,-2.38,-0.07,-56
1787066400261,186092,Thigh,sit,-0.967216,-0.240584,0.164944,1.61,-2.52,0.07,-56
1787066400261,186109,Thigh,sit,-0.96624,-0.239608,0.167384,1.47,-2.73,0.07,-56
1787066400261,186140,Thigh,sit,-0.96624,-0.239608,0.165432,1.47,-2.73,-0.35,-56
1787066400261,186156,Thigh,sit,-0.966728,-0.240584,0.168848,1.54,-2.66,-0.42,-56
1787066400261,186173,Thigh,sit,-0.967216,-0.24156,0.165432,1.54,-2.45,-0.56,-56
1787066400261,186190,Thigh,sit,-0.967216,-0.241072,0.166896,1.54,-2.45,-0.56,-56
1787066400261,186207,Thigh,sit,-0.966728,-0.24156,0.16836,1.47,-2.45,-0.42,-56
1787066400621,186384,Thigh,sit,-0.970144,-0.240584,0.162504,1.47,-2.17,-0.49,-56
1787066400621,186415,Thigh,sit,-0.966728,-0.24156,0.164456,1.82,-2.45,-0.07,-56
1787066400621,186432,Thigh,sit,-0.969168,-0.241072,0.164944,1.12,-2.45,0,-56
1787066400621,186449,Thigh,sit,-0.967704,-0.241072,0.163968,1.4,-2.03,0.14,-56
1787066400621,186466,Thigh,sit,-0.96868,-0.240096,0.163968,1.26,-1.89,0.14,-56
1787066400621,186497,Thigh,sit,-0.969656,-0.23912,0.160552,1.33,-2.45,0,-56
1787066400621,186514,Thigh,sit,-0.969168,-0.238144,0.162016,1.47,-2.87,-0.21,-56
1787066400621,186531,Thigh,sit,-0.968192,-0.238632,0.162992,1.47,-2.87,-0.42,-56
1787066400621,186547,Thigh,sit,-0.967216,-0.23912,0.164456,1.47,-2.59,-0.56,-56
1787066400621,186564,Thigh,sit,-0.966728,-0.239608,0.164944,1.47,-2.52,-0.56,-56
1787066400977,186741,Thigh,sit,-0.96868,-0.242536,0.162992,1.4,-2.66,0.42,-56
1787066400977,186772,Thigh,sit,-0.966728,-0.238632,0.16592,1.4,-2.8,0.56,-56
1787066400977,186789,Thigh,sit,-0.967704,-0.238632,0.166896,1.33,-2.73,0.56,-56
1787066400977,186806,Thigh,sit,-0.967704,-0.237656,0.164944,1.33,-2.52,0.28,-56
1787066400977,186823,Thigh,sit,-0.967704,-0.238144,0.162992,1.33,-2.45,0.14,-56
1787066400977,186854,Thigh,sit,-0.969656,-0.237168,0.16348,1.54,-2.87,0,-56
1787066400977,186871,Thigh,sit,-0.96868,-0.236192,0.164456,1.47,-3.01,-0.07,-56
1787066400977,186888,Thigh,sit,-0.968192,-0.235704,0.164456,1.4,-3.08,-0.42,-56
1787066400977,186905,Thigh,sit,-0.96868,-0.237656,0.165432,1.54,-3.08,-0.56,-56
1787066400977,186922,Thigh,sit,-0.966728,-0.238144,0.167872,1.54,-2.94,-0.7,-56
1787066401335,187098,Thigh,sit,-0.967704,-0.24156,0.163968,1.12,-1.61,0,-56
1787066401335,187129,Thigh,sit,-0.970632,-0.240584,0.162504,1.33,-1.82,0,-56
1787066401335,187146,Thigh,sit,-0.969656,-0.23912,0.162016,1.47,-2.03,-0.07,-56
1787066401335,187163,Thigh,sit,-0.96868,-0.238632,0.161528,1.47,-2.24,-0.14,-56
1787066401335,187180,Thigh,sit,-0.967216,-0.240584,0.163968,1.54,-2.24,-0.07,-56
1787066401335,187211,Thigh,sit,-0.970144,-0.239608,0.16104,1.26,-2.38,0.21,-56
1787066401335,187228,Thigh,sit,-0.973072,-0.238144,0.160064,1.26,-2.52,0.07,-56
1787066401335,187245,Thigh,sit,-0.97112,-0.23912,0.160552,1.4,-2.87,-0.35,-56
1787066401335,187262,Thigh,sit,-0.969168,-0.24156,0.16348,1.54,-3.22,-0.49,-56
1787066401335,187279,Thigh,sit,-0.967216,-0.241072,0.164456,1.4,-3.36,-0.28,-56
1787066401693,187455,Thigh,sit,-0.96868,-0.242048,0.16104,2.17,-1.75,0.07,-61
1787066401693,187486,Thigh,sit,-0.972096,-0.240096,0.158112,1.54,-2.45,0,-61
1787066401693,187503,Thigh,sit,-0.97112,-0.238632,0.1586,1.61,-3.01,-0.21,-61
1787066401693,187520,Thigh,sit,-0.97112,-0.237656,0.158112,1.54,-3.22,-0.28,-61
1787066401693,187537,Thigh,sit,-0.970632,-0.238144,0.160552,1.61,-3.43,-0.56,-61
1787066401693,187568,Thigh,sit,-0.966728,-0.23912,0.163968,1.61,-3.36,-0.63,-61
1787066401693,187585,Thigh,sit,-0.965752,-0.242536,0.165432,1.54,-3.29,-0.63,-61
1787066401693,187602,Thigh,sit,-0.965752,-0.242536,0.167872,1.54,-2.94,-0.49,-61
1787066401693,187619,Thigh,sit,-0.964776,-0.240584,0.16836,1.47,-2.45,-0.28,-61
