pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1786632822040,92318,Knee,stand,-0.255224,0.951112,-0.154696,1.89,-3.78,-0.91,-50
1786632822040,92335,Knee,stand,-0.249856,0.947208,-0.152744,1.47,-3.71,-0.77,-50
1786632822040,92366,Knee,stand,-0.251808,0.947696,-0.15128,1.33,-3.85,-0.77,-50
1786632822040,92384,Knee,stand,-0.251808,0.948672,-0.154208,1.33,-3.92,-0.77,-50
1786632822040,92400,Knee,stand,-0.252296,0.94672,-0.155184,1.26,-4.13,-0.63,-50
1786632822040,92417,Knee,stand,-0.252296,0.945744,-0.157624,1.33,-4.2,-0.63,-50
1786632822040,92435,Knee,stand,-0.250832,0.946232,-0.1586,1.26,-4.48,-0.56,-50
1786632822040,92465,Knee,stand,-0.251808,0.94916,-0.155672,1.26,-4.9,-0.56,-50
1786632822040,92482,Knee,stand,-0.250344,0.948184,-0.154208,1.26,-5.04,-0.49,-50
1786632822040,92499,Knee,stand,-0.247416,0.947208,-0.15128,1.19,-5.04,-0.56,-50
1786632822486,92676,Knee,stand,-0.247416,0.950624,-0.14884,1.26,-4.76,-0.7,-50
1786632822486,92707,Knee,stand,-0.247904,0.950136,-0.146888,1.26,-4.62,-0.63,-50
1786632822486,92724,Knee,stand,-0.247416,0.947696,-0.147864,1.26,-4.41,-0.7,-50
1786632822486,92741,Knee,stand,-0.248392,0.948672,-0.149328,1.33,-4.27,-0.7,-50
1786632822486,92759,Knee,stand,-0.247904,0.94916,-0.149816,1.33,-4.06,-0.77,-50
1786632822486,92790,Knee,stand,-0.249856,0.948184,-0.148352,1.33,-4.13,-0.7,-50
1786632822486,92808,Knee,stand,-0.25132,0.947696,-0.14884,1.33,-4.2,-0.7,-50
1786632822486,92825,Knee,stand,-0.249856,0.948672,-0.150792,1.33,-4.13,-0.77,-50
1786632822486,92842,Knee,stand,-0.249856,0.946232,-0.153232,1.33,-4.13,-0.77,-50
1786632822486,92859,Knee,stand,-0.250344,0.947696,-0.154208,1.4,-4.06,-0.84,-50
1786632822693,93034,Knee,stand,-0.250344,0.94916,-0.150304,1.33,-4.06,-0.91,-44
1786632822693,93064,Knee,stand,-0.250832,0.948672,-0.151768,1.33,-4.06,-0.91,-44
1786632822693,93082,Knee,stand,-0.252784,0.947696,-0.150792,1.4,-4.2,-0.77,-44
1786632822693,93098,Knee,stand,-0.251808,0.948184,-0.150304,1.4,-4.34,-0.77,-44
1786632822693,93115,Knee,stand,-0.250832,0.948184,-0.1464,1.47,-4.27,-0.77,-44
1786632822693,93145,Knee,stand,-0.24888,0.94916,-0.147376,1.47,-4.2,-0.77,-44
1786632822693,93162,Knee,stand,-0.25132,0.948672,-0.148352,1.4,-4.13,-0.77,-44
1786632822693,93179,Knee,stand,-0.251808,0.948184,-0.150792,1.4,-4.2,-0.7,-44
1786632822693,93196,Knee,stand,-0.249856,0.947208,-0.149328,1.47,-3.99,-0.7,-44
1786632822693,93227,Knee,stand,-0.251808,0.948184,-0.152256,1.4,-3.92,-0.7,-44
1786632823050,93403,Knee,stand,-0.249368,0.948184,-0.15128,1.54,-3.85,-0.7,-45
1786632823050,93434,Knee,stand,-0.24888,0.948184,-0.15128,1.54,-3.92,-0.63,-45
