pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1786636170457,1855023,Lumbar,walk,-0.233752,0.837408,-0.499224,1.4,-2.59,0.77,-56
1786636170457,1855041,Lumbar,walk,-0.232776,0.840824,-0.499712,1.47,-2.38,0.77,-56
1786636170457,1855058,Lumbar,walk,-0.233752,0.8418,-0.5002,1.05,-2.17,0.7,-56
1786636170457,1855089,Lumbar,walk,-0.235704,0.840824,-0.502152,1.19,-1.96,0.42,-56
1786636170457,1855106,Lumbar,walk,-0.236192,0.836432,-0.498248,0.91,-1.61,0.28,-56
1786636170457,1855123,Lumbar,walk,-0.236192,0.836432,-0.495808,1.05,-1.47,0.21,-56
1786636170457,1855140,Lumbar,walk,-0.23668,0.841312,-0.497272,1.4,-1.12,0.21,-56
1786636170457,1855158,Lumbar,walk,-0.241072,0.839848,-0.49776,0.98,-1.05,0.35,-56
1786636170457,1855189,Lumbar,walk,-0.238144,0.838872,-0.499224,1.33,-0.91,0.56,-56
1786636170457,1855206,Lumbar,walk,-0.237656,0.838384,-0.499224,1.19,-1.26,0.49,-56
1786636172176,1855383,Lumbar,walk,-0.240584,0.832528,-0.500688,1.05,-1.89,0.63,-56
1786636172176,1855414,Lumbar,walk,-0.244,0.840336,-0.503128,1.33,-2.17,0.77,-56
1786636172176,1855431,Lumbar,walk,-0.242536,0.837896,-0.50264,0.7,-2.24,0.98,-56
1786636172176,1855448,Lumbar,walk,-0.24156,0.833992,-0.50264,0.28,-2.03,1.19,-56
1786636172176,1855465,Lumbar,walk,-0.240096,0.83204,-0.5002,0.84,-2.31,1.26,-56
1786636172176,1855496,Lumbar,walk,-0.239608,0.837408,-0.503616,0.63,-2.31,1.4,-56
1786636172176,1855513,Lumbar,walk,-0.23912,0.836432,-0.500688,0.49,-2.45,1.33,-56
1786636172176,1855530,Lumbar,walk,-0.23668,0.835944,-0.501176,0.56,-2.38,1.19,-56
1786636172176,1855547,Lumbar,walk,-0.235216,0.835456,-0.499712,0.49,-2.24,1.19,-56
1786636172176,1855564,Lumbar,walk,-0.232776,0.837408,-0.498736,0.7,-1.96,1.05,-56
1786636172177,1855740,Lumbar,walk,-0.222528,0.835456,-0.495808,1.89,-1.12,0,-56
1786636172177,1855771,Lumbar,walk,-0.22692,0.83692,-0.500688,1.47,-0.42,0.14,-56
1786636172177,1855788,Lumbar,walk,-0.224968,0.839848,-0.508496,1.47,0,0.28,-56
1786636172177,1855805,Lumbar,walk,-0.223992,0.845704,-0.501176,1.26,-0.63,0.63,-56
1786636172177,1855822,Lumbar,walk,-0.21716,0.844728,-0.49532,0.7,-0.7,1.12,-56
1786636172177,1855853,Lumbar,walk,-0.211304,0.830576,-0.49776,2.45,-0.21,0.91,-56
1786636172177,1855870,Lumbar,walk,-0.20984,0.83204,-0.497272,3.22,-0.28,0.42,-56
1786636172177,1855887,Lumbar,walk,-0.205936,0.837408,-0.500688,3.92,-0.42,0.35,-56
1786636172177,1855904,Lumbar,walk,-0.203984,0.840336,-0.501176,4.41,-0.49,0.42,-56
1786636172177,1855921,Lumbar,walk,-0.20496,0.84668,-0.507032,4.55,-0.77,0.28,-56
1786636173670,1856097,Lumbar,walk,-0.199104,0.842776,-0.50996,3.78,-3.78,-1.4,-56
1786636173670,1856128,Lumbar,walk,-0.199592,0.833504,-0.51728,3.22,-4.55,-1.75,-56
1786636173670,1856145,Lumbar,walk,-0.199104,0.832528,-0.51484,4.06,-5.32,-2.24,-56
1786636173670,1856162,Lumbar,walk,-0.1952,0.83936,-0.51728,3.85,-5.46,-2.24,-56
1786636173670,1856179,Lumbar,walk,-0.186416,0.832528,-0.518256,2.94,-5.6,-2.59,-56
1786636173670,1856210,Lumbar,walk,-0.177632,0.821304,-0.518744,3.64,-4.97,-3.99,-56
1786636173670,1856227,Lumbar,walk,-0.17812,0.826672,-0.516304,5.39,-3.99,-4.2,-56
1786636173670,1856244,Lumbar,walk,-0.181536,0.828136,-0.520208,5.74,-3.99,-4.55,-56
1786636173670,1856261,Lumbar,walk,-0.184464,0.829112,-0.526064,5.46,-3.15,-5.04,-56
1786636173670,1856278,Lumbar,walk,-0.185928,0.826672,-0.525088,5.53,-3.08,-5.32,-56
1786636173670,1856456,Lumbar,walk,-0.294264,0.827648,-0.50996,-0.7,-10.01,-6.23,-59
1786636173670,1856488,Lumbar,walk,-0.30256,0.81252,-0.46848,-4.06,-3.78,-4.97,-59
1786636173670,1856505,Lumbar,walk,-0.297192,0.8296,-0.470432,1.61,2.66,-5.46,-59
1786636173670,1856523,Lumbar,walk,-0.259616,0.861808,-0.467016,2.45,9.66,-7.21,-59
