pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1786631002048,704380,Lumbar,tug_3,0.093696,-0.97844,0.205936,2.66,-2.45,0.98,-68
1786631002048,704397,Lumbar,tug_3,0.086376,-0.976976,0.205448,2.45,-2.38,0.84,-68
1786631002048,704428,Lumbar,tug_3,0.083936,-0.975512,0.203496,2.24,-2.38,0.56,-68
1786631002048,704445,Lumbar,tug_3,0.086864,-0.975512,0.201544,2.24,-2.52,0.42,-68
1786631002048,704462,Lumbar,tug_3,0.086864,-0.976976,0.199592,1.96,-2.52,0.21,-68
1786631002048,704479,Lumbar,tug_3,0.085888,-0.97844,0.20008,1.19,-2.66,0.14,-68
1786631002048,704496,Lumbar,tug_3,0.084912,-0.980392,0.20008,0.84,-2.66,0.14,-68
1786631002048,704527,Lumbar,tug_3,0.088816,-0.980392,0.20252,0.63,-2.73,0.21,-68
1786631002048,704544,Lumbar,tug_3,0.092232,-0.981368,0.200568,0.98,-2.87,0.35,-68
1786631002048,704561,Lumbar,tug_3,0.091256,-0.986248,0.199104,1.61,-2.94,0.42,-68
1786631002403,704737,Lumbar,tug_3,0.103944,-0.976,0.201056,-1.05,-2.73,0.35,-68
1786631002403,704767,Lumbar,tug_3,0.09272,-0.974536,0.200568,-0.35,-2.52,0.98,-68
1786631002403,704784,Lumbar,tug_3,0.089792,-0.975512,0.199104,-0.56,-2.52,0.63,-68
1786631002403,704801,Lumbar,tug_3,0.090768,-0.976976,0.199592,-0.98,-2.52,0.28,-68
1786631002403,704818,Lumbar,tug_3,0.092232,-0.978928,0.199104,-1.12,-2.45,0.07,-68
1786631002403,704849,Lumbar,tug_3,0.093208,-0.98088,0.196664,-1.75,-2.03,0.07,-68
1786631002403,704866,Lumbar,tug_3,0.09516,-0.980392,0.193248,-1.96,-1.61,0.07,-68
1786631002403,704883,Lumbar,tug_3,0.100528,-0.979416,0.193248,-1.68,-1.54,0.28,-68
1786631002403,704900,Lumbar,tug_3,0.098576,-0.978928,0.191784,-1.19,-1.4,0.42,-68
1786631002403,704917,Lumbar,tug_3,0.096624,-0.98088,0.189344,-1.33,-1.26,0.49,-68
