pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1786630335826,571654,Knee,walk_2,0.104432,-0.962824,-0.248392,1.12,-4.41,-1.12,-63
1786630335826,571671,Knee,walk_2,0.106384,-0.963312,-0.24888,1.33,-6.09,-1.4,-63
1786630335826,571702,Knee,walk_2,0.109312,-0.964776,-0.244488,1.82,-5.95,-1.4,-63
1786630335826,571720,Knee,walk_2,0.10736,-0.963312,-0.23424,1.89,-6.23,-1.33,-63
1786630335826,571737,Knee,walk_2,0.113216,-0.964776,-0.229848,1.82,-6.16,-1.19,-63
1786630335826,571754,Knee,walk_2,0.119072,-0.9638,-0.222528,1.75,-4.9,-1.05,-63
1786630335826,571771,Knee,walk_2,0.114192,-0.9638,-0.222528,1.54,-3.57,-0.84,-63
1786630335826,571802,Knee,walk_2,0.1098,-0.967704,-0.220576,1.4,-2.94,-0.77,-63
1786630335826,571819,Knee,walk_2,0.107848,-0.965752,-0.22204,1.33,-3.15,-0.7,-63
1786630335826,571836,Knee,walk_2,0.107848,-0.962824,-0.22204,1.05,-3.15,-0.84,-63
1786630336182,572012,Knee,walk_2,0.115168,-0.962824,-0.23668,1.89,-2.17,0,-63
1786630336182,572042,Knee,walk_2,0.124928,-0.961848,-0.239608,2.03,-0.7,0.42,-63
1786630336182,572059,Knee,walk_2,0.122488,-0.961848,-0.234728,1.82,0.77,0.63,-63
1786630336182,572076,Knee,walk_2,0.117608,-0.964288,-0.23424,1.89,0.84,0.56,-63
1786630336182,572093,Knee,walk_2,0.121024,-0.968192,-0.236192,2.03,1.12,0.63,-63
1786630336182,572124,Knee,walk_2,0.1098,-0.960384,-0.24156,2.17,1.96,0.91,-63
1786630336182,572141,Knee,walk_2,0.101992,-0.960872,-0.235216,2.31,1.68,0.98,-63
1786630336182,572158,Knee,walk_2,0.101504,-0.964288,-0.226432,2.52,0.91,0.91,-63
1786630336182,572175,Knee,walk_2,0.106872,-0.967216,-0.222528,2.66,0.49,0.77,-63
1786630336182,572192,Knee,walk_2,0.108336,-0.964776,-0.227408,2.52,0.42,0.77,-63
1786630336538,572367,Knee,walk_2,0.10736,-0.968192,-0.183976,1.05,-0.63,0.35,-62
1786630336538,572398,Knee,walk_2,0.098088,-0.986736,-0.205448,1.54,-1.26,0.42,-62
1786630336538,572415,Knee,walk_2,0.10736,-0.97112,-0.22204,1.12,-0.98,0.56,-62
1786630336538,572433,Knee,walk_2,0.111752,-0.963312,-0.227896,0.98,0.28,0.63,-62
1786630336538,572450,Knee,walk_2,0.10004,-0.967704,-0.232288,1.05,0.14,0.56,-62
1786630336538,572481,Knee,walk_2,0.105408,-0.961848,-0.22448,1.4,-2.59,0.14,-62
1786630336538,572498,Knee,walk_2,0.106384,-0.966728,-0.215696,1.4,-2.38,0.14,-62
1786630336538,572515,Knee,walk_2,0.105896,-0.96624,-0.207888,1.26,-2.8,0.21,-62
1786630336538,572532,Knee,walk_2,0.106872,-0.966728,-0.209352,1.12,-2.45,0.21,-62
1786630336538,572549,Knee,walk_2,0.108336,-0.965264,-0.20984,0.91,-2.31,0.28,-62
1786630336896,572725,Knee,walk_2,0.137128,-0.977952,-0.20984,-1.12,4.9,1.54,-62
1786630336896,572755,Knee,walk_2,0.09516,-0.970144,-0.23424,-1.82,11.06,2.1,-62
