pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1786630428662,659472,Thigh,walk_3,-0.020984,0.9882,0.227408,0.84,-2.59,0.21,-49
1786630428662,659489,Thigh,walk_3,-0.020984,0.985272,0.228384,0.7,-2.73,0.14,-49
1786630428662,659520,Thigh,walk_3,-0.02196,0.984296,0.217648,0.77,-1.89,0.07,-49
1786630428662,659537,Thigh,walk_3,-0.022936,0.981368,0.21472,0.7,-1.75,0.07,-49
1786630428662,659554,Thigh,walk_3,-0.022448,0.98332,0.215696,0.56,-2.17,-0.14,-49
1786630428662,659571,Thigh,walk_3,-0.02196,0.983808,0.219112,0.7,-2.66,-0.14,-49
1786630428662,659588,Thigh,walk_3,-0.01952,0.98332,0.220088,1.12,-2.94,-0.28,-49
1786630428662,659618,Thigh,walk_3,-0.015128,0.983808,0.21716,1.68,-2.24,-0.14,-49
1786630428662,659635,Thigh,walk_3,-0.01464,0.984784,0.218136,0.7,-1.47,-0.14,-49
1786630428662,659652,Thigh,walk_3,-0.020008,0.986248,0.218624,0.07,-0.84,0,-49
1786630429024,659827,Thigh,walk_3,-0.017568,0.98332,0.213744,0.56,-3.36,-0.7,-49
1786630429024,659858,Thigh,walk_3,-0.020496,0.985272,0.215208,0.56,-2.87,-0.91,-49
1786630429024,659875,Thigh,walk_3,-0.017568,0.98332,0.217648,0.49,-2.52,-1.05,-49
1786630429024,659892,Thigh,walk_3,-0.018544,0.983808,0.220088,0.63,-2.31,-1.05,-49
1786630429024,659909,Thigh,walk_3,-0.021472,0.982344,0.221552,0.49,-3.22,-1.05,-49
1786630429024,659940,Thigh,walk_3,-0.018544,0.981856,0.225456,0.49,-3.36,-1.26,-49
1786630429024,659957,Thigh,walk_3,-0.016104,0.982344,0.220576,0.42,-2.52,-1.47,-49
1786630429024,659974,Thigh,walk_3,-0.014152,0.986736,0.219112,0.35,-2.24,-1.54,-49
1786630429024,659990,Thigh,walk_3,-0.00976,0.9882,0.2196,0.35,-1.89,-1.61,-49
1786630429024,660007,Thigh,walk_3,-0.010248,0.983808,0.218136,0.28,-1.96,-1.68,-49
1786630429376,660183,Thigh,walk_3,-0.005856,0.986736,0.230336,-0.14,-1.12,-3.08,-49
1786630429376,660214,Thigh,walk_3,-0.009272,0.979416,0.232288,-0.28,0.07,-3.29,-49
1786630429376,660231,Thigh,walk_3,-0.01464,0.978928,0.228384,-0.42,0.56,-3.71,-49
1786630429376,660248,Thigh,walk_3,-0.022448,0.981368,0.22692,-0.49,0.49,-3.92,-49
1786630429376,660265,Thigh,walk_3,-0.022448,0.984784,0.225456,-0.07,-0.07,-4.2,-49
1786630429376,660296,Thigh,walk_3,-0.015128,0.98332,0.226432,-0.42,0.49,-4.69,-49
1786630429376,660313,Thigh,walk_3,-0.016104,0.982832,0.232776,-0.63,1.05,-4.9,-49
1786630429376,660330,Thigh,walk_3,-0.01708,0.986248,0.237168,-0.77,0.7,-5.25,-49
1786630429376,660347,Thigh,walk_3,-0.019032,0.9882,0.238144,-0.84,0.14,-5.25,-49
1786630429376,660364,Thigh,walk_3,-0.018544,0.987224,0.237656,-1.26,-0.35,-4.9,-49
1786630429732,660539,Thigh,walk_3,0.009272,0.972584,0.253272,0.28,8.61,1.82,-37
1786630429732,660570,Thigh,walk_3,-0.015128,0.969656,0.262056,-0.42,9.87,3.29,-37
1786630429732,660587,Thigh,walk_3,-0.023424,0.964776,0.256688,-0.63,11.06,3.5,-37
1786630429732,660604,Thigh,walk_3,-0.0244,0.970144,0.239608,0.35,12.74,4.2,-37
1786630429732,660621,Thigh,walk_3,-0.023424,0.984296,0.227896,0.98,13.3,4.76,-37
1786630429732,660652,Thigh,walk_3,-0.03172,0.986248,0.227408,2.03,14.7,5.32,-37
1786630429732,660669,Thigh,walk_3,-0.05368,0.990152,0.232288,2.66,17.15,4.69,-37
1786630429732,660686,Thigh,walk_3,-0.070272,1.008208,0.23668,1.96,19.74,3.43,-37
1786630429732,660703,Thigh,walk_3,-0.104432,1.006744,0.242048,0.91,20.51,2.66,-37
1786630429732,660720,Thigh,walk_3,-0.112728,1.004304,0.255224,-0.14,21.63,2.73,-37
1786630430089,660894,Thigh,walk_3,-0.032696,0.958432,0.252784,-0.14,9.31,12.81,-37
1786630430089,660925,Thigh,walk_3,0.013176,0.956968,0.244976,-0.84,12.67,14.84,-37
1786630430089,660942,Thigh,walk_3,0.029768,0.955504,0.233752,0.49,15.75,17.08,-37
1786630430089,660959,Thigh,walk_3,0.035136,0.959408,0.233264,1.12,19.74,19.25,-37
