pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1787066398733,183120,Knee,sit,0.180072,0.953064,0.244488,1.33,-3.5,-1.05,-56
1787066398733,183137,Knee,sit,0.178608,0.951112,0.242048,1.33,-3.78,-0.77,-56
1787066398733,183168,Knee,sit,0.182024,0.950136,0.240584,1.75,-4.48,-0.42,-56
1787066398733,183185,Knee,sit,0.184464,0.952088,0.242536,1.75,-4.41,-0.42,-56
1787066398733,183202,Knee,sit,0.182512,0.9516,0.242048,1.61,-4.06,-0.42,-56
1787066398733,183219,Knee,sit,0.181536,0.950624,0.243024,1.54,-4.06,-0.56,-56
1787066398733,183236,Knee,sit,0.182512,0.9516,0.244,1.68,-4.2,-0.7,-56
1787066398733,183268,Knee,sit,0.183976,0.953064,0.24156,1.54,-4.27,-0.84,-56
1787066398733,183285,Knee,sit,0.18544,0.950624,0.240584,1.54,-4.2,-0.7,-56
1787066398733,183302,Knee,sit,0.185928,0.949648,0.240096,1.54,-4.13,-0.63,-56
1787066399083,183476,Knee,sit,0.181536,0.952088,0.242048,1.54,-4.06,-0.49,-56
1787066399083,183506,Knee,sit,0.182024,0.94916,0.244976,1.61,-4.2,-0.56,-56
1787066399083,183523,Knee,sit,0.182512,0.951112,0.243512,1.68,-4.27,-0.63,-56
1787066399083,183540,Knee,sit,0.182512,0.950624,0.24156,1.75,-4.41,-0.63,-56
1787066399083,183557,Knee,sit,0.183976,0.950624,0.24156,1.68,-4.48,-0.63,-56
1787066399083,183588,Knee,sit,0.183,0.950624,0.240584,1.68,-4.62,-0.63,-56
1787066399083,183605,Knee,sit,0.18544,0.9516,0.23912,1.68,-4.55,-0.63,-56
1787066399083,183622,Knee,sit,0.185928,0.9516,0.237656,1.54,-4.2,-0.7,-56
1787066399083,183639,Knee,sit,0.18544,0.9516,0.237656,1.54,-3.99,-0.7,-56
1787066399083,183656,Knee,sit,0.183976,0.952088,0.238144,1.4,-3.64,-0.77,-56
1787066399440,183830,Knee,sit,0.182512,0.951112,0.244,1.89,-5.04,-0.49,-56
1787066399440,183861,Knee,sit,0.18788,0.951112,0.240584,1.89,-4.83,-0.56,-56
1787066399440,183878,Knee,sit,0.188368,0.951112,0.241072,1.96,-4.83,-0.56,-56
1787066399440,183895,Knee,sit,0.187392,0.952576,0.241072,1.96,-4.69,-0.56,-56
1787066399440,183912,Knee,sit,0.184952,0.95404,0.240584,1.82,-4.41,-0.84,-56
1787066399440,183943,Knee,sit,0.188368,0.952088,0.23912,1.82,-3.85,-0.98,-56
1787066399440,183960,Knee,sit,0.18788,0.948184,0.240584,1.75,-3.78,-1.12,-56
1787066399440,183977,Knee,sit,0.177144,0.94672,0.239608,1.4,-4.06,-0.77,-56
1787066399440,183994,Knee,sit,0.174216,0.95404,0.240096,1.75,-4.83,-0.21,-56
1787066399440,184011,Knee,sit,0.17568,0.955992,0.240096,1.68,-5.18,-0.07,-56
1787066399798,184185,Knee,sit,0.18544,0.951112,0.242048,1.54,-4.13,-0.35,-64
1787066399798,184216,Knee,sit,0.18544,0.950136,0.240584,1.61,-4.06,-0.7,-64
1787066399798,184234,Knee,sit,0.18544,0.952088,0.240096,1.61,-4.13,-0.7,-64
1787066399798,184251,Knee,sit,0.186904,0.952576,0.23912,1.54,-4.27,-0.7,-64
1787066399798,184268,Knee,sit,0.186416,0.951112,0.23912,1.47,-4.2,-0.63,-64
1787066399798,184299,Knee,sit,0.186416,0.951112,0.23912,1.61,-4.27,-0.63,-64
1787066399798,184316,Knee,sit,0.184464,0.952088,0.23912,1.54,-4.06,-0.7,-64
1787066399798,184333,Knee,sit,0.183976,0.953064,0.240096,1.47,-3.85,-0.7,-64
1787066399798,184350,Knee,sit,0.183488,0.9516,0.240096,1.4,-3.71,-0.77,-64
1787066399798,184367,Knee,sit,0.18056,0.951112,0.239608,1.33,-3.78,-0.77,-64
1787066400151,184542,Knee,sit,0.184464,0.951112,0.239608,1.61,-4.06,-0.63,-64
1787066400151,184573,Knee,sit,0.185928,0.950624,0.23912,1.47,-4.13,-0.63,-64
