pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1787066256020,44894,Lumbar,stand,-0.02928,1.0126,-0.067832,0.56,0.77,-0.91,-59
1787066256020,44911,Lumbar,stand,-0.03172,1.013088,-0.070272,0.56,0.49,-0.63,-59
1787066256020,44942,Lumbar,stand,-0.03416,1.013088,-0.07076,0.21,0.7,-0.42,-59
1787066256020,44959,Lumbar,stand,-0.032208,1.013576,-0.07076,0.56,0.84,-0.56,-59
1787066256020,44976,Lumbar,stand,-0.030256,1.009672,-0.071248,0.63,0.7,-0.56,-59
1787066256020,44993,Lumbar,stand,-0.031232,1.0126,-0.06832,0.84,0,-0.42,-59
1787066256020,45010,Lumbar,stand,-0.034648,1.016016,-0.065392,0.35,-0.7,-0.28,-59
1787066256020,45041,Lumbar,stand,-0.036112,1.013088,-0.062464,-0.35,-0.56,-0.07,-59
1787066256020,45058,Lumbar,stand,-0.034648,1.012112,-0.06344,-0.21,-0.63,-0.14,-59
1787066256020,45075,Lumbar,stand,-0.031232,1.013088,-0.064904,-0.14,-1.05,-0.14,-59
1787066256354,45251,Lumbar,stand,-0.029768,1.010648,-0.064904,-0.21,-3.22,-0.21,-59
1787066256354,45282,Lumbar,stand,-0.027816,1.013088,-0.057584,0.35,-2.87,0,-59
1787066256354,45300,Lumbar,stand,-0.027816,1.013088,-0.05612,0.21,-2.38,0.07,-59
1787066256354,45316,Lumbar,stand,-0.030744,1.014064,-0.057584,0.21,-2.24,0.07,-59
1787066256354,45333,Lumbar,stand,-0.030744,1.015528,-0.056608,0.14,-2.17,0,-59
1787066256354,45364,Lumbar,stand,-0.028792,1.013576,-0.057584,-0.21,-2.38,0,-59
1787066256354,45381,Lumbar,stand,-0.028304,1.010648,-0.057096,-0.07,-2.38,0,-59
1787066256354,45398,Lumbar,stand,-0.028792,1.009184,-0.05856,0.21,-2.38,0.07,-59
1787066256354,45415,Lumbar,stand,-0.029768,1.011136,-0.060024,0.84,-2.31,0.07,-59
1787066256354,45432,Lumbar,stand,-0.033184,1.014064,-0.060512,1.33,-2.59,0.14,-59
1787066256772,45638,Lumbar,stand,-0.033672,1.016016,-0.053192,1.26,-2.8,0,-61
1787066256772,45669,Lumbar,stand,-0.034648,1.014552,-0.049776,0.56,-2.59,0.07,-61
1787066256772,45686,Lumbar,stand,-0.03416,1.014064,-0.050264,0.56,-2.45,0.07,-61
1787066256772,45703,Lumbar,stand,-0.033672,1.013576,-0.049288,0.56,-2.38,0,-61
1787066256772,45720,Lumbar,stand,-0.032696,1.014064,-0.048312,0.42,-2.31,-0.21,-61
1787066256772,45751,Lumbar,stand,-0.033184,1.017968,-0.051728,0.49,-2.59,0,-61
1787066256772,45768,Lumbar,stand,-0.03172,1.018456,-0.054168,-0.07,-2.31,-0.07,-61
1787066256772,45785,Lumbar,stand,-0.032696,1.013576,-0.053192,-0.49,-1.68,-0.42,-61
1787066256772,45802,Lumbar,stand,-0.029768,1.007232,-0.049288,0.21,-1.89,-0.42,-61
1787066256772,45819,Lumbar,stand,-0.030744,1.00772,-0.049776,1.26,-2.45,-0.07,-61
1787066257123,45995,Lumbar,stand,-0.034648,1.011136,-0.05124,2.24,-0.56,0.42,-61
1787066257123,46026,Lumbar,stand,-0.033672,1.01504,-0.055144,2.52,-0.56,0.63,-61
1787066257123,46043,Lumbar,stand,-0.03416,1.014552,-0.052704,2.38,-0.49,0.63,-61
1787066257123,46060,Lumbar,stand,-0.033672,1.011136,-0.053192,2.38,-0.49,0.63,-61
1787066257123,46077,Lumbar,stand,-0.032696,1.008696,-0.049776,2.87,-0.98,0.84,-61
1787066257123,46108,Lumbar,stand,-0.034648,1.01748,-0.05612,3.08,-0.77,0.77,-61
1787066257123,46125,Lumbar,stand,-0.037576,1.016504,-0.055632,2.24,-0.84,0.63,-61
1787066257123,46142,Lumbar,stand,-0.037576,1.011624,-0.052216,2.24,-1.05,0.63,-61
1787066257123,46158,Lumbar,stand,-0.0366,1.010648,-0.050752,2.94,-1.82,0.56,-61
1787066257123,46175,Lumbar,stand,-0.032696,1.0126,-0.050752,3.22,-2.1,0.49,-61
1787066257477,46350,Lumbar,stand,-0.030256,1.015528,-0.059536,2.94,-1.82,0.7,-61
1787066257477,46381,Lumbar,stand,-0.028792,1.014552,-0.059048,2.87,-1.89,0.63,-61
1787066257477,46398,Lumbar,stand,-0.030744,1.014552,-0.057584,3.08,-2.03,0.49,-61
1787066257477,46415,Lumbar,stand,-0.03172,1.015528,-0.05856,3.08,-2.31,0.56,-61
1787066257477,46432,Lumbar,stand,-0.030256,1.01504,-0.059536,3.01,-2.45,0.56,-61
1787066257477,46463,Lumbar,stand,-0.029768,1.014552,-0.060512,2.52,-2.31,0.77,-61
1787066257477,46480,Lumbar,stand,-0.029768,1.014552,-0.059048,2.45,-2.03,0.7,-61
1787066257477,46497,Lumbar,stand,-0.030744,1.015528,-0.059048,2.45,-1.89,0.63,-61
1787066257477,46514,Lumbar,stand,-0.03172,1.014064,-0.059048,2.45,-1.68,0.49,-61
1787066257477,46531,Lumbar,stand,-0.029768,1.01504,-0.057584,2.52,-1.75,0.42,-61
1787066257833,46705,Lumbar,stand,-0.03172,1.014064,-0.067832,2.59,-0.77,0.21,-58
1787066257833,46736,Lumbar,stand,-0.029768,1.014552,-0.062464,2.66,-1.26,0.21,-58
1787066257833,46753,Lumbar,stand,-0.030744,1.016504,-0.062952,2.59,-1.4,0.14,-58
1787066257833,46770,Lumbar,stand,-0.035624,1.01748,-0.064416,2.17,-1.33,0.21,-58
1787066257833,46787,Lumbar,stand,-0.03904,1.015528,-0.064904,1.82,-1.12,0.28,-58
1787066257833,46818,Lumbar,stand,-0.033672,1.011624,-0.064416,1.96,-1.12,0.28,-58
1787066257833,46835,Lumbar,stand,-0.030744,1.011624,-0.065392,2.31,-1.54,0.42,-58
1787066257833,46852,Lumbar,stand,-0.030744,1.013088,-0.065392,2.24,-1.68,0.42,-58
1787066257833,46869,Lumbar,stand,-0.035136,1.011624,-0.063928,2.1,-1.82,0.56,-58
