pc_timestamp,user_id,session_id,activity,knee_arduino_ms,lumbar_arduino_ms,thigh_arduino_ms,knee_ax,knee_ay,knee_az,knee_gx,knee_gy,knee_gz,lumbar_ax,lumbar_ay,lumbar_az,lumbar_gx,lumbar_gy,lumbar_gz,thigh_ax,thigh_ay,thigh_az,thigh_gx,thigh_gy,thigh_gz
2026-08-13 15:22:32.542,user_1,user_1__sit,sit,351269,238537,304715,-0.013664,-1.000888,-0.091256,1.4,-4.34,-0.91,-0.084912,1.011624,0.090768,1.19,-2.31,0.35,-0.64416,-0.410896,0.689056,1.12,-2.45,-0.21
2026-08-13 15:22:32.562,user_1,user_1__sit,sit,351286,238555,304732,-0.012688,-0.999912,-0.09028,1.47,-4.41,-0.91,-0.083936,1.013088,0.086376,1.26,-2.17,0.28,-0.644648,-0.411872,0.689056,1.12,-2.31,-0.07
2026-08-13 15:22:32.582,user_1,user_1__sit,sit,351317,238572,304762,-0.00976,-0.996496,-0.09028,1.4,-4.41,-0.77,-0.081008,1.01504,0.083448,1.4,-2.24,0.28,-0.637816,-0.409432,0.68808,1.19,-2.31,-0.07
2026-08-13 15:22:32.602,user_1,user_1__sit,sit,351334,238603,304779,-0.00732,-0.99796,-0.091256,1.4,-4.27,-0.77,-0.08052,1.013576,0.079544,1.05,-2.24,0.42,-0.637328,-0.411384,0.68808,1.26,-2.31,0.07
2026-08-13 15:22:32.622,user_1,user_1__sit,sit,351351,238620,304857,-0.007808,-0.998448,-0.091256,1.4,-4.13,-0.7,-0.079544,1.01504,0.084424,0.98,-2.24,0.49,-0.642696,-0.409432,0.686616,1.26,-2.31,0.0
2026-08-13 15:22:32.642,user_1,user_1__sit,sit,351368,238637,304888,-0.011712,-1.0004,-0.090768,1.4,-4.13,-0.7,-0.08052,1.01504,0.086864,0.84,-2.31,0.35,-0.644648,-0.409432,0.687592,1.33,-2.45,-0.07
2026-08-13 15:22:32.662,user_1,user_1__sit,sit,351385,238654,304905,-0.0122,-0.99796,-0.090768,1.4,-4.13,-0.7,-0.08052,1.013576,0.087352,0.77,-2.45,0.21,-0.64172,-0.408456,0.68808,1.4,-2.45,-0.07
2026-08-13 15:22:32.682,user_1,user_1__sit,sit,351416,238672,304922,-0.013664,-0.997472,-0.089792,1.33,-4.13,-0.7,-0.080032,1.01016,0.092232,0.98,-2.45,0.28,-0.641232,-0.408456,0.688568,1.4,-2.31,-0.14
2026-08-13 15:22:32.702,user_1,user_1__sit,sit,351433,238703,304939,-0.0122,-0.998448,-0.09028,1.4,-4.13,-0.7,-0.080032,1.012112,0.090768,1.19,-2.17,0.49,-0.64416,-0.407968,0.688568,1.33,-2.24,-0.14
2026-08-13 15:22:32.722,user_1,user_1__sit,sit,351449,238720,304970,-0.010736,-0.998448,-0.08784,1.33,-4.06,-0.7,-0.08052,1.015528,0.088816,1.19,-2.24,0.49,-0.645624,-0.408944,0.686128,1.26,-2.31,-0.14
2026-08-13 15:22:32.742,user_1,user_1__sit,sit,351627,238895,305147,-0.010736,-1.004304,-0.089792,1.47,-4.13,-0.91,-0.078568,1.017968,0.091256,1.33,-1.89,0.35,-0.645136,-0.412848,0.69052,1.61,-2.94,-0.14
2026-08-13 15:22:32.762,user_1,user_1__sit,sit,351658,238927,305177,-0.010736,-0.991616,-0.091744,1.54,-4.13,-0.84,-0.081984,1.008208,0.0854,1.26,-2.24,0.14,-0.642696,-0.40748,0.68808,1.26,-2.59,-0.35
2026-08-13 15:22:32.782,user_1,user_1__sit,sit,351675,238944,305194,-0.011224,-0.999424,-0.091744,1.47,-4.13,-0.77,-0.078568,1.01016,0.086376,1.4,-2.17,0.49,-0.64416,-0.408944,0.689056,1.12,-2.38,-0.35
2026-08-13 15:22:32.802,user_1,user_1__sit,sit,351692,238961,305211,-0.008296,-1.001376,-0.09028,1.54,-4.06,-0.77,-0.077592,1.014552,0.086864,1.54,-2.03,0.56,-0.645136,-0.409432,0.688568,1.12,-2.38,-0.35
2026-08-13 15:22:32.822,user_1,user_1__sit,sit,351709,238978,305228,-0.00976,-0.998448,-0.09028,1.54,-3.99,-0.91,-0.081008,1.019432,0.088816,1.33,-2.17,0.28,-0.64172,-0.406504,0.686128,1.19,-2.66,-0.14
