user_id,activity,session_id,knee_rows,lumbar_rows,thigh_rows,aligned_rows,stream_balance,knee_median_interval_ms,lumbar_median_interval_ms,thigh_median_interval_ms,status
user_1,sit,user_1__sit,3440,3490,3420,3420,0.9799426934097422,17.0,17.0,17.0,included
user_1,stand,user_1__stand,3620,3630,3620,3620,0.9972451790633609,17.0,17.0,17.0,included
user_1,tug,user_1__tug,460,450,420,420,0.9130434782608695,17.0,17.0,17.0,included
user_1,walk,user_1__walk,3490,3490,3490,3490,1.0,17.0,17.0,17.0,included
user_2,sit,user_2__sit,260,260,260,260,1.0,17.0,17.0,17.0,included
user_2,stand,user_2__stand,3280,3360,3310,3280,0.9761904761904762,17.0,17.0,17.0,included
user_2,tug,user_2__tug,570,580,580,570,0.9827586206896551,17.0,17.0,17.0,included
user_2,walk,user_2__walk,3910,3910,3930,3910,0.9949109414758269,17.0,17.0,17.0,included
user_3,sit,user_3__sit,4040,4020,4020,4020,0.995049504950495,17.0,17.0,17.0,included
user_3,stand,user_3__stand,3800,3790,3800,3790,0.9973684210526316,17.0,17.0,17.0,included
user_3,tug,user_3__tug,470,470,460,460,0.9787234042553191,17.0,17.0,17.0,included
user_3,walk,user_3__walk,2820,2850,2860,2820,0.986013986013986,17.0,17.0,17.0,included
user_4,sit,user_4__sit,3470,3460,3470,3460,0.9971181556195965,17.0,17.0,17.0,included
user_4,stand,user_4__stand,3600,3620,3620,3600,0.994475138121547,17.0,17.0,17.0,included
user_4,tug,user_4__tug,330,330,330,330,1.0,17.0,17.0,17.0,included
user_4,walk,user_4__walk,3850,3850,3860,3850,0.9974093264248705,17.0,17.0,17.0,included
user_5,sit,user_5__sit,3520,3580,3510,3510,0.9804469273743017,17.0,17.0,17.0,included
user_5,stand,user_5__stand,3530,3540,3530,3530,0.9971751412429378,17.0,17.0,17.0,included
user_5,tug,user_5__tug,320,320,320,320,1.0,17.0,17.0,17.0,included
user_5,walk,user_5__walk,4020,4030,4020,4020,0.9975186104218362,17.0,17.0,17.0,included
user_6,sit,user_6__sit,3700,3700,3680,3680,0.9945945945945946,17.0,17.0,17.0,included
user_6,stand,user_6__stand,3540,3540,3540,3540,1.0,17.0,17.0,17.0,included
user_6,tug,user_6__tug,400,400,400,400,1.0,17.0,17.0,17.0,included
user_6,walk,user_6__walk,3810,3820,3790,3790,0.9921465968586387,17.0,17.0,17.0,included
user_7,sit,user_7__sit,3720,3720,3710,3710,0.9973118279569892,17.0,17.0,17.0,included
user_7,stand,user_7__stand,3120,2980,3110,2980,0.9551282051282052,17.0,17.0,17.0,included
user_7,tug,user_7__tug,390,390,240,0,0.6153846153846154,17.0,17.0,17.0,excluded
user_7,walk,user_7__walk,2510,2510,2500,2500,0.9960159362549801,17.0,17.0,17.0,included
user_8,sit,user_8__sit,4060,4070,4060,4060,0.9975429975429976,17.0,17.0,17.0,included
user_8,stand,user_8__stand,3590,3590,3600,3590,0.9972222222222222,17.0,17.0,17.0,included
user_8,tug,user_8__tug,310,320,320,310,0.96875,17.0,17.0,17.0,included
user_8,walk,user_8__walk,3610,200,3630,0,0.05509641873278237,17.0,614.0,17.0,excluded
