pc_timestamp,arduino_ms,node_position,ax,ay,az,gx,gy,gz,rssi
1785973237059,56319,Knee,-0.108824,-0.92232,-0.366488,2.38,-1.47,-1.61,-65
1785973237546,56803,Knee,-0.088816,-0.926712,-0.350384,2.45,-3.57,-2.17,-65
1785973238051,57287,Knee,-0.10004,-0.929152,-0.360144,1.96,-4.2,-2.03,-64
1785973238666,57851,Knee,-0.037088,-0.93208,-0.33672,0.84,-1.68,-4.34,-65
1785973238671,57931,Knee,-0.025376,-0.935008,-0.347456,0.84,0.07,-3.29,-65
1785973239183,58410,Knee,-0.003904,-0.94672,-0.340624,3.01,-2.52,-4.62,-66
1785973239623,58892,Knee,0.05368,-0.92232,-0.355264,-10.64,17.08,11.97,-66
1785973240205,59456,Knee,-0.125904,-0.91744,-0.308416,4.2,-26.6,18.9,-65
1785973240716,59936,Knee,-0.252296,-0.92476,-0.236192,-10.99,-1.05,21.28,-59
1785973241240,60502,Knee,-0.761768,-0.707112,-0.547536,0.42,0.63,-37.24,-66
1785973241742,60989,Knee,-0.030744,-1.690432,-0.611464,-21,-160.02,-19.67,-64
1785973241750,61069,Knee,-0.582672,-0.804224,-0.309392,-36.19,-44.94,45.15,-64
1785973242253,61470,Knee,-0.117608,-0.955016,-0.245464,-28.77,2.66,43.75,-68
1785973242285,61551,Knee,-0.105408,-0.952576,-0.229848,-41.23,13.51,56.28,-68
1785973242788,62037,Knee,-0.523624,-0.401624,-0.653432,123.06,-6.72,-174.86,-72
1785973242871,62200,Knee,-0.03904,-0.87108,-0.31232,109.69,42.21,-106.75,-72
1785973243376,62602,Knee,-0.178608,-0.953552,-0.147376,-21.35,6.44,46.55,-67
1785973243892,63085,Knee,0.413824,-1.624552,-0.508984,-106.26,3.99,120.4,-69
1785973243901,63165,Knee,-0.929152,-0.890112,-0.790072,-4.13,-21.84,10.43,-69
1785973244416,63652,Knee,-0.820816,-0.386496,-0.382592,-18.27,38.71,76.16,-65
1785973244916,64133,Knee,-0.260592,-0.927688,-0.32208,-23.87,-3.57,43.19,-71
1785973245452,64698,Knee,-0.612928,-0.43432,-0.548024,58.73,-8.12,-146.58,-66
1785973245940,65184,Knee,0.106872,-0.847656,-0.231312,-35.91,-28.35,51.38,-72
1785973246457,65666,Knee,-0.064904,-0.996984,-0.168848,-65.17,3.64,65.87,-71
1785973247069,66231,Knee,0.189832,-1.087752,-0.38796,139.51,39.83,-156.1,-76
1785973247070,66311,Knee,-0.20984,-0.725656,-0.420656,10.36,173.67,117.95,-76
1785973247072,66392,Knee,0.282552,-2.05448,-0.143472,-16.31,-308.77,-35.91,-76
1785973247779,66797,Knee,-0.254736,-0.896456,-0.34404,-28.07,-1.54,40.67,-74
1785973247780,66877,Knee,-0.148352,-0.9272,-0.230336,-31.99,10.64,48.86,-74
1785973247883,67036,Knee,-0.22936,-1.1346,-0.229848,-77.7,10.85,81.34,-74
1785973247884,67116,Knee,0.757376,-1.533784,-0.121512,-74.62,33.32,111.79,-72
1785973247885,67195,Knee,-0.56364,-0.503128,-0.918416,-5.39,-35.63,24.15,-72
1785973248089,67275,Knee,-0.9394,-0.370392,-0.60268,18.27,-23.94,-52.5,-71
1785973248115,67355,Knee,-0.656848,-0.506544,-0.582184,48.37,-13.16,-122.99,-71
1785973248605,67843,Knee,-0.448472,-1.059936,0.223016,-36.68,-65.24,36.54,-72
1785973249113,68323,Knee,-0.218624,-0.942328,-0.235216,-50.4,7.49,57.61,-72
1785973249648,68887,Knee,-0.352824,-0.49776,-0.506544,129.43,5.88,-215.04,-76
1785973250114,69371,Knee,-0.008784,-0.97112,-0.147864,-19.53,-11.34,36.61,-75
1785973250647,69857,Knee,-0.013664,-1.281976,-0.66368,-91.98,23.94,96.39,-76
1785973251280,70393,Knee,0.46116,-1.22732,0.374784,120.54,155.33,-13.93,-79
1785973251281,70475,Knee,-0.974048,-0.408944,-0.44408,-51.73,-46.27,55.51,-79
1785973251317,70554,Knee,2.073512,-1.743136,-0.299144,-1.96,-20.93,55.23,-79
1785973251782,70957,Knee,-0.230824,-0.91988,-0.310368,-25.69,-3.5,33.25,-81
1785973251800,71036,Knee,-0.057584,-0.960872,-0.14884,-35.63,7.63,45.43,-81
1785973252204,71439,Knee,-0.926224,-0.410408,-0.670512,20.23,-94.08,-74.2,-77
1785973252801,72005,Knee,-0.20008,-0.882304,-0.49532,31.36,-49.91,-13.16,-77
1785973253309,72484,Knee,-0.181048,-0.927688,-0.325496,-5.88,-34.09,-16.45,-78
1785973253313,72564,Knee,-0.160552,-0.920368,-0.263032,-13.37,-28.98,-24.5,-78
1785973253826,73048,Knee,-0.318176,-0.930128,-0.391376,-19.25,-96.81,-59.92,-77
1785973253923,73209,Knee,-0.188368,-0.63928,-0.654408,93.03,-51.94,-119.07,-76
1785973254336,73535,Knee,-0.367464,-0.859856,-0.108336,-40.95,-26.11,52.08,-76
1785973254872,74102,Knee,0.030744,-1.045784,-0.122,-70.14,5.46,74.27,-74
1785973255376,74588,Knee,-0.426024,-0.447496,-0.562176,150.29,-9.94,-213.01,-73
1785973256484,75640,Knee,-0.376248,-0.473848,-0.948184,-40.53,-36.12,6.09,-67
1785973256495,75720,Knee,-1.19804,-0.231312,-0.835456,51.94,-31.36,-82.11,-67
1785973256917,76122,Knee,-0.91988,-0.39528,-0.408456,-50.26,-56.49,63.91,-71
1785973256995,76205,Knee,0.577304,-0.994056,-0.74664,-2.73,-15.96,60.69,-71
1785973257511,76688,Knee,-0.174704,-0.931592,-0.173728,-39.48,4.97,56.63,-64
1785973257546,76769,Knee,-0.025864,-0.987224,-0.142984,-55.51,6.44,78.12,-64
1785973258031,77255,Knee,-0.50996,-0.476776,-0.609512,148.68,43.33,-196.91,-65
1785973258530,77735,Knee,-0.088328,-0.964776,-0.167384,-23.52,-6.02,48.79,-68
1785973259077,78296,Knee,-0.525088,-0.500688,-0.666608,-18.76,-29.33,-15.47,-65
1785973259564,78783,Knee,-0.07808,-1.913448,-0.795928,-30.59,-248.29,-54.74,-64
1785973260172,79353,Knee,-0.085888,-0.989664,-0.118096,-43.05,22.54,72.45,-66
1785973260173,79433,Knee,-0.032696,-1.081408,-0.20008,-66.15,24.99,101.64,-66
1785973260686,79837,Knee,-0.5856,-0.328912,-0.719312,151.13,4.69,-184.38,-65
1785973260695,79917,Knee,-0.200568,-0.831064,-0.410408,128.45,-30.87,-209.16,-65
1785973261198,80404,Knee,-0.181048,-0.97356,-0.196176,-21.77,1.12,48.44,-60
1785973261211,80485,Knee,-0.295728,-0.925736,-0.333792,-19.39,6.37,45.92,-60
1785973261706,80889,Knee,-0.330376,-1.214632,0.031232,-44.38,37.45,95.76,-60
1785973262237,81455,Knee,-0.677832,-0.774456,-1.1224,-67.13,-107.59,53.34,-64
1785973262734,81940,Knee,-0.195688,-0.927688,-0.317688,-27.79,0.14,44.45,-60
1785973263242,82427,Knee,-0.540216,-0.222528,-0.619272,66.5,-14.28,-122.01,-60
1785973263244,82507,Knee,-0.664656,-0.501664,-0.5368,94.5,-11.62,-172.69,-60
1785973264266,83477,Knee,-0.000488,-1.14436,-0.157136,-75.88,27.72,103.6,-56
1785973264889,84042,Knee,0.403576,-1.213656,0.26352,110.67,124.81,-1.82,-65
1785973264909,84121,Knee,-0.802272,-0.377224,-0.533872,-61.6,-58.52,69.02,-65
1785973265312,84526,Knee,-0.294752,-0.913048,-0.297192,-21.56,5.04,47.11,-61
1785973266417,85576,Knee,-0.22448,-0.65148,-0.44408,-33.88,-51.94,55.79,-65
1785973266418,85656,Knee,-0.149328,-0.828136,-0.243512,-24.92,-26.67,48.86,-65
1785973266447,85735,Knee,-0.045872,-0.978928,-0.172752,-16.59,-8.89,37.59,-65
1785973266936,86139,Knee,-0.107848,-0.971608,-0.171776,-48.51,21.98,70.98,-58
1785973267444,86625,Knee,-0.51484,-0.54656,-0.52216,132.58,4.55,-211.54,-61
1785973268471,87672,Knee,-0.320128,-1.24928,0.0488,-62.44,29.61,101.43,-58
1785973269591,88723,Knee,-0.0732,-0.943304,-0.206912,-24.08,4.62,46.76,-59
1785973269600,88803,Knee,-0.124928,-0.986736,-0.157624,-42.14,9.17,56.42,-59
1785973270105,89289,Knee,-0.570472,-0.477264,-0.565104,103.18,-9.73,-161.28,-57
1785973270622,89773,Knee,-0.367464,-1.065304,-0.281576,-21.21,-16.45,41.58,-60
1785973270651,89854,Knee,0.04636,-1.016504,-0.029768,-22.82,-11.62,38.57,-60
1785973271131,90298,Knee,0.089304,-1.177544,-0.106872,-73.5,28.42,116.55,-58
1785973271660,90863,Knee,0.218136,-0.79544,0.0488,13.72,179.55,80.99,-65
1785973272152,91344,Knee,-0.142496,-0.942816,-0.244,-20.16,42.28,21,-60
1785973272184,91425,Knee,-0.138104,-0.92964,-0.232776,-21.63,37.1,15.33,-60
1785973272663,91828,Knee,-0.189832,-0.723704,-0.593896,23.17,280.35,76.79,-62
1785973273279,92395,Knee,-0.056608,-0.959896,-0.28792,-9.59,-17.15,34.02,-61
1785973273280,92474,Knee,-0.07808,-0.964288,-0.132248,-6.51,-17.92,28.63,-61
1785973273314,92555,Knee,-0.153232,-0.964288,-0.157624,-10.57,-5.74,25.27,-67
1785973273791,92959,Knee,-0.096136,-0.96868,-0.096624,-38.64,8.26,61.6,-62
1785973273798,93040,Knee,-0.194712,-1.03456,-0.128832,-54.88,20.3,88.06,-62
1785973274302,93443,Knee,-0.491416,-0.516792,-0.609024,101.15,-13.02,-154.77,-64
1785973274329,93525,Knee,-0.213744,-0.598776,-0.570472,120.82,-6.37,-173.6,-64
1785973274820,94012,Knee,-0.10004,-0.948184,-0.15372,-24.36,-1.75,39.41,-57
1785973275331,94493,Knee,0.064416,-1.25416,-0.620248,-97.44,6.23,110.32,-59
1785973275865,95057,Knee,0.204472,-0.992104,0.228384,16.38,118.79,61.18,-66
1785973276350,95544,Knee,-0.294264,-0.859856,-0.38308,-23.87,1.68,42.77,-63
1785973276862,96027,Knee,-0.974536,-0.53192,-0.738344,19.74,4.13,-29.47,-55
1785973277398,96592,Knee,-0.421632,-1.202432,0.077104,-43.61,-66.92,41.72,-58
1785973277992,97159,Knee,0.00732,-1.04188,-0.215696,-66.01,20.58,95.62,-68
1785973278000,97239,Knee,0.526064,-1.74704,-0.318664,-87.64,15.96,116.9,-68
1785973278503,97644,Knee,-0.252784,-0.850584,-0.50752,137.13,37.45,-177.94,-61
1785973278535,97725,Knee,-0.01952,-0.698816,-0.094672,102.27,59.85,-54.18,-61
1785973279023,98210,Knee,-0.306952,-0.908656,-0.310368,-21.84,9.8,46.41,-68
1785973279542,98778,Knee,-0.774944,-0.30012,-0.552904,45.36,-41.86,-112.7,-66
1785973280039,99182,Knee,-0.511424,-1.340048,-1.054568,-65.66,-168.84,12.18,-66
1785973280074,99262,Knee,-0.889624,-0.59048,-0.381616,-34.02,-49.63,35.77,-66
1785973280563,99748,Knee,-0.093696,-0.966728,-0.133712,-42.77,13.02,63.35,-66
1785973281061,100231,Knee,-0.459208,-0.462624,-0.5978,134.4,28.49,-174.86,-65
1785973282187,101284,Knee,0.54656,-1.6958,-0.120536,-60.9,12.88,107.73,-61
1785973282188,101364,Knee,-1.010648,-0.427,-1.181936,24.36,-31.08,-0.28,-61
1785973282213,101443,Knee,-0.9394,-0.372832,-0.679296,26.67,-33.39,-61.32,-61
1785973282698,101928,Knee,0.182024,-0.659288,-0.345016,-23.59,-6.44,62.79,-67
1785973283214,102334,Knee,-0.129808,-0.962824,-0.238632,-23.31,-4.27,38.92,-67
1785973283230,102414,Knee,-0.118096,-0.953552,-0.128344,-33.95,11.13,52.08,-67
1785973283723,102898,Knee,-0.575352,-0.528016,-0.548512,79.24,15.26,-138.04,-65
1785973283725,102979,Knee,-0.429928,-0.461648,-0.538264,113.33,50.19,-161.91,-71
1785973284235,103387,Knee,-0.184952,-0.81984,-0.174216,-30.59,-40.18,42,-66
1785973284237,103466,Knee,-0.274744,-0.970632,-0.166408,-25.69,-23.24,30.8,-66
1785973284775,103953,Knee,-0.083936,-1.11264,-0.404552,-94.22,33.6,110.39,-75
1785973285262,104438,Knee,-0.1464,-0.980392,-0.503616,143.5,37.1,-172.06,-72
1785973285771,104921,Knee,-0.11224,-0.925736,-0.177632,-20.72,2.38,45.08,-67
1785973286386,105491,Knee,-1.173152,-0.43676,-1.231712,10.92,-67.27,-11.34,-72
1785973286393,105571,Knee,-0.845704,-0.446032,-0.611952,2.45,-17.36,-59.99,-72
1785973286904,106054,Knee,0.732,-1.541104,-0.238632,-12.74,-284.62,5.39,-72
1785973287412,106538,Knee,-0.108824,-0.915,-0.179096,-34.86,-2.1,49.63,-76
1785973287444,106619,Knee,-0.176656,-0.969656,-0.186904,-54.53,2.87,61.11,-76
1785973287932,107105,Knee,-0.558272,-0.333304,-0.671488,135.59,10.43,-192.36,-72
1785973288443,107591,Knee,-0.452376,-0.916952,-0.320128,-10.01,1.26,43.26,-74
1785973288447,107671,Knee,-0.13664,-0.977464,-0.040016,-18.62,-1.26,44.73,-74
1785973288976,108152,Knee,0.732976,-1.84464,-0.63928,-110.67,25.27,123.76,-71
1785973289466,108638,Knee,0.10004,-0.916952,-0.143472,129.08,86.1,-83.37,-78
1785973289986,109124,Knee,-0.151768,-0.936472,-0.288896,-21.14,5.25,39.83,-79
1785973290510,109688,Knee,-0.392352,-0.5856,-0.648064,-57.12,-50.68,-9.31,-77
1785973291102,110229,Knee,0.183976,-0.852048,-0.083936,-23.38,8.33,62.58,-75
1785973291112,110311,Knee,0.240096,-1.02724,-0.125904,-21.14,-13.86,48.23,-75
1785973291545,110714,Knee,-0.144936,-0.959408,-0.155672,-30.38,5.11,48.93,-79
1785973292127,111279,Knee,-0.482144,-0.56608,-0.542656,132.93,42.07,-147.77,-81
1785973292631,111764,Knee,-0.214232,-1.063352,-0.209352,-16.45,12.67,26.6,-79
1785973292865,112084,Knee,-0.092232,-0.952576,-0.160552,-22.26,38.78,13.86,-79
1785973293097,112244,Knee,-0.232288,-0.884256,-0.320128,-43.82,36.12,12.67,-77
1785973293161,112325,Knee,-0.378688,-0.8418,-0.828136,-30.31,46.2,7.63,-77
1785973293656,112808,Knee,-0.101504,-0.861808,-0.259616,9.52,239.75,93.66,-81
1785973293668,112889,Knee,-0.21472,-0.935008,-0.293288,-12.32,114.03,72.31,-81
1785973294167,113293,Knee,-0.111752,-0.960872,-0.170312,-8.89,1.54,25.41,-72
1785973294667,113781,Knee,-0.323056,-1.144848,-0.439688,-79.45,-5.18,66.22,-71
1785973294698,113862,Knee,0.574376,-1.313208,-0.467016,-72.66,15.89,108.64,-71
1785973295300,114427,Knee,0.145912,-0.845704,0.32452,33.6,129.78,47.25,-75
1785973295913,114910,Knee,-0.30256,-0.88084,-0.337208,-22.4,10.15,39.76,-70
1785973295914,114990,Knee,-0.223016,-0.935496,-0.298168,-23.59,-0.84,38.71,-70
1785973295914,115070,Knee,-0.152256,-0.959896,-0.183976,-29.82,7.56,48.23,-70
1785973296318,115471,Knee,-0.961848,-0.432856,-0.687592,24.5,-16.31,-59.15,-71
1785973296830,115957,Knee,1.134112,-1.502064,-0.437736,-17.57,-86.66,44.24,-74
1785973297367,116524,Knee,-0.181048,-0.988688,-0.176656,-56.35,3.29,59.43,-69
1785973297864,117013,Knee,-0.514352,-0.446032,-0.606584,105.42,-16.31,-195.93,-69
1785973298367,117498,Knee,-0.101016,-0.954528,-0.205448,-25.83,3.43,46.83,-62
1785973298990,118140,Knee,-0.847656,-0.40504,-0.755912,20.65,-21.28,-14.42,-59
1785973299398,118547,Knee,-0.259616,-0.71736,-0.365024,6.37,156.31,98.14,-60
1785973299401,118628,Knee,0.787144,-1.826096,-0.22936,-18.97,-249.34,-19.18,-60
1785973300005,119112,Knee,-0.111264,-0.936472,-0.169336,-34.37,7.98,53.27,-60
1785973300007,119193,Knee,-0.100528,-1.034072,-0.103944,-60.55,0.49,66.64,-60
1785973300042,119273,Knee,-0.061976,-1.171688,-0.150304,-80.71,11.62,104.72,-60
1785973300520,119596,Knee,-0.61732,-0.544608,-0.508008,92.47,17.5,-134.19,-61
1785973300529,119676,Knee,-0.609024,-0.418704,-0.69052,129.5,-14.84,-200.97,-61
1785973301028,120163,Knee,0.064904,-1.053104,-0.047824,-19.39,-12.04,42.91,-55
1785973301542,120646,Knee,-0.091744,-1.187792,-0.577304,-88.62,5.74,99.54,-59
1785973301575,120727,Knee,-0.305976,-0.987712,-0.028792,-31.01,61.81,99.61,-59
1785973302568,121698,Knee,-0.15128,-0.918904,-0.366,-22.47,1.05,35.14,-64
1785973303196,122343,Knee,-0.704184,-0.503128,-0.502152,41.09,-67.69,-198.66,-64
1785973303596,122752,Knee,-0.266448,-0.88572,-0.392352,-33.04,-63.91,46.55,-59
1785973304203,123320,Knee,-0.192272,-0.9394,-0.260104,-52.36,9.03,63.21,-59
