pc_timestamp,arduino_ms,node_position,ax,ay,az,gx,gy,gz,rssi
1785973237059,32259,Lumbar,0.06588,-0.926712,-0.353312,1.61,8.12,3.57,-65
1785973237539,32661,Lumbar,0.077104,-0.937936,-0.33428,0.28,-0.14,1.47,-65
1785973237546,32741,Lumbar,0.077592,-0.928176,-0.327936,1.4,-1.4,1.33,-65
1785973238154,33222,Lumbar,0.077592,-0.924272,-0.385032,0.21,0.63,1.82,-61
1785973238175,33303,Lumbar,0.072712,-0.899872,-0.367952,-6.02,8.68,5.81,-61
1785973238671,33706,Lumbar,0.055144,-0.92964,-0.345992,4.27,3.5,3.15,-61
1785973238672,33785,Lumbar,0.09028,-0.927688,-0.354288,4.76,5.39,4.55,-61
1785973239183,34266,Lumbar,0.052216,-0.915976,-0.372344,-2.94,2.1,5.25,-63
1785973239623,34750,Lumbar,0.141032,-0.893528,-0.349408,0.63,14.84,12.67,-63
1785973240205,35313,Lumbar,0.08052,-0.89792,-0.364536,-3.22,14.56,16.31,-65
1785973240674,35798,Lumbar,-0.121512,-0.903288,-0.362096,3.22,7.98,8.33,-60
1785973241240,36363,Lumbar,-0.047824,-1.010648,-0.425048,10.5,-5.67,-11.69,-62
1785973241750,36844,Lumbar,0.105408,-1.130208,-0.115168,28.91,-19.88,-4.9,-62
1785973242285,37408,Lumbar,-0.050752,-0.930616,-0.230824,17.01,30.03,-3.64,-69
1785973242870,37895,Lumbar,0.103456,-0.840336,-0.305976,-7.77,-9.45,-15.19,-68
1785973242871,37976,Lumbar,0.127368,-0.884744,-0.240584,-12.04,-12.11,-3.92,-68
1785973243376,38460,Lumbar,0.127368,-0.828624,-0.332328,18.83,34.23,33.39,-71
1785973243892,38943,Lumbar,-0.415288,-1.282952,-0.798856,-47.18,-15.75,33.18,-63
1785973243901,39025,Lumbar,0.412848,-0.655872,-0.429928,10.43,-7.84,-8.19,-63
1785973244416,39591,Lumbar,0.0122,-0.920856,-0.538264,-8.54,-3.43,-21.49,-69
1785973244916,39995,Lumbar,-0.077592,-0.858392,-0.238144,-9.24,4.76,4.76,-69
1785973245430,40534,Lumbar,0.166408,-0.68076,-0.311344,9.45,-38.01,-33.81,-73
1785973245452,40614,Lumbar,0.112728,-0.90768,-0.310368,-9.87,-12.88,-18.34,-73
1785973246457,41581,Lumbar,0.20984,-1.212192,-0.026352,54.39,16.1,8.26,-74
1785973247072,42150,Lumbar,0.155184,-1.04676,-0.218624,-0.28,-15.26,1.05,-74
1785973247779,42640,Lumbar,-0.049776,-0.855952,-0.250832,-13.3,5.18,8.68,-75
1785973247780,42720,Lumbar,-0.035136,-0.942328,-0.191784,-7.84,7.63,-8.75,-75
1785973247884,42880,Lumbar,-0.0122,-1.357616,-0.036112,37.38,16.52,2.45,-75
1785973247885,42959,Lumbar,-0.32452,-1.267336,-0.657336,-35.91,-23.94,29.54,-73
1785973248087,43201,Lumbar,0.17568,-0.77104,-0.298168,11.27,-26.81,-23.66,-72
1785973248089,43282,Lumbar,0.07564,-0.89792,-0.302072,-3.01,-15.05,-17.5,-72
1785973248603,43688,Lumbar,0.263032,-1.173152,-0.791536,-34.58,26.25,-12.18,-75
1785973248605,43769,Lumbar,-0.374296,-0.620736,-0.417728,-0.84,-44.94,9.03,-75
1785973249111,44170,Lumbar,-0.024888,-0.929152,-0.160552,-1.75,14.98,-10.29,-73
1785973249113,44250,Lumbar,-0.078568,-1.159488,-0.145424,9.38,20.79,2.94,-73
1785973249623,44736,Lumbar,0.060024,-0.810568,-0.24888,-4.41,-16.31,-11.55,-73
1785973249648,44816,Lumbar,-0.000976,-1.004792,-0.212768,6.3,-27.51,-5.11,-73
